concept,color,concept_type,description,description_long,domain,drill_up,indicator_url,name,name_catalog,name_short,scales,source,source_long,source_url,tags
befolkning_alder_0_5_ar,,measure,Antal invånare i åldrarna 0-5 år i Karlskrona kommun,,,,,Befolkning (ålder 0-5),Befolkning (ålder 0-5),Befolkning (ålder 0-5),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_alder_6_15_ar,,measure,Antal invånare i åldrarna 6-15 år i Karlskrona kommun,,,,,Befolkning (ålder 6-15),Befolkning (ålder 6-15),Befolkning (ålder 6-15),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_alder_16_24_ar,,measure,Antal invånare i åldrarna 16-24 år i Karlskrona kommun,,,,,Befolkning (ålder 16-24),Befolkning (ålder 16-24),Befolkning (ålder 16-24),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_alder_25_44_ar,,measure,Antal invånare i åldrarna 25-44 år i Karlskrona kommun,,,,,Befolkning (ålder 25-44),Befolkning (ålder 25-44),Befolkning (ålder 25-44),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_alder_45_64_ar,,measure,Antal invånare i åldrarna 45-64 år i Karlskrona kommun,,,,,Befolkning (ålder 45-64),Befolkning (ålder 45-64),Befolkning (ålder 45-64),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_alder_65_war,,measure,Antal invånare i åldrarna 65 och däröver i Karlskrona kommun,,,,,Befolkning (ålder 65 och däröver),Befolkning (ålder 65 och däröver),Befolkning (ålder 65 och däröver),"[""linear""; ""log""]",,,,befolkning_alder
befolkning_total,,measure,Antal invånare i Karlskrona kommun,,,,,Befolkning (alla åldrar),Befolkning (alla åldrar),Befolkning,"[""linear""; ""log""]",,,,befolkning
boende_efter_bostadstyp_bostadsratt,,measure,Antal boende efter bostadstyp - flerbostadshus bostadsrätt,,,,,Boende efter bostadsrätt,Boende efter bostadsrätt,Boende efter bostadsrätt,"[""linear""; ""log""]",,,,boende_bostadsratt
boende_efter_bostadstyp_flerbostadshus_hyresratt,,measure,Antal boende efter bostadstyp - flerbostadshus hyresrätt,,,,,Boende efter flerbostadshus hyresrätt,Boende efter flerbostadshus hyresrätt,Boende efter flerbostadshus hyresrätt,"[""linear""; ""log""]",,,,boende_flerbostadshus_hyresratt
boende_efter_bostadstyp_smahus,,measure,Antal boende efter bostadstyp - småhus,,,,,Boende efter småhus,Boende efter småhus,Boende efter småhus,"[""linear""; ""log""]",,,,boende_smahus
forvarvsfrekvens_kvinnor,,measure,Förvärvsfrekvens för kvinnor i Karlskrona kommun,,,,,Förvärvsfrekvens (% - Kvinnor),Förvärvsfrekvens (% - Kvinnor),Förvärvsfrekvens (% - Kvinnor),"[""linear""; ""log""]",,,,forvarvsfrekvens_kvinnor
forvarvsfrekvens_man,,measure,Förvärvsfrekvens för män i Karlskrona kommun,,,,,Förvärvsfrekvens (% - Män),Förvärvsfrekvens (% - Män),Förvärvsfrekvens (% - Män),"[""linear""; ""log""]",,,,forvarvsfrekvens_man
forvarvsfrekvens_summa,,measure,Total förvärvsfrekvens för män och kvinnor i Karlskrona kommun,,,,,Förvärvsfrekvens (% - Total),Förvärvsfrekvens (% - Total),Förvärvsfrekvens (% - Total),"[""linear""; ""log""]",,,,forvarvsfrekvens
inrikes_fodda_kvinnor,,measure,Antal inrikes födda kvinnor i Karlskrona kommun,,,,,Inrikes födda (Kvinnor),Inrikes födda (Kvinnor),Inrikes födda (Kvinnor),"[""linear""; ""log""]",,,,inrikes_fodda_kvinnor
inrikes_fodda_man,,measure,Antal inrikes födda män i Karlskrona kommun,,,,,Inrikes födda (Män),Inrikes födda (Män),Inrikes födda (Män),"[""linear""; ""log""]",,,,inrikes_fodda_man
inrikes_fodda_summa,,measure,Antal inrikes födda i Karlskrona kommun,,,,,Inrikes födda (Summa),Inrikes födda (Summa),Inrikes födda (Summa),"[""linear""; ""log""]",,,,inrikes_fodda
medelinkomst_20_64_ar_kvinnor,,measure,Medelinkomst för sammanräknad förvärvsinkomst 20-64 år - kvinnor,,,,,Medelinkomst (Kvinnor) 20-64 år,Medelinkomst (Kvinnor) 20-64 år,Medelinkomst Kvinnor 20-64 år,"[""linear""; ""log""]",,,,medelinkomst_kvinnor
medelinkomst_20_64_ar_man,,measure,Medelinkomst för sammanräknad förvärvsinkomst 20-64 år - män,,,,,Medelinkomst (Män) 20-64 år,Medelinkomst (Män) 20-64 år,Medelinkomst Män 20-64 år,"[""linear""; ""log""]",,,,medelinkomst_man
medelinkomst_20_64_ar_totalt,,measure,Medelinkomst för sammanräknad förvärvsinkomst 20-64 år - totalt,,,,,Medelinkomst 20-64 år,Medelinkomst 20-64 år,Medelinkomst 20-64 år,"[""linear""; ""log""]",,,,medelinkomst
nettoflytt_arb,,measure,"Antal inflyttade minus antal utflyttade, antal med arbete (med arbete innebär att personen har ett förvärvsarbete, vid respektive årsskifte, efter flytt)",,,,,Antal inflyttade minus antal utflyttade (arbete),,,,,,,nettoflytt_arb
nettoflytt_utb,,measure,"Antal inflyttade minus antal utflyttade, antal med lång utbildning (lång utbildning innebär att personen har minst 3-årig eftergymnasial utbildning, vid respektive årsskifte, efter flytt)",,,,,Antal inflyttade minus antal utflyttade (utbildning),,,,,,,nettoflytt_utb
utrikes_fodda_kvinnor,,measure,Antal utrikes födda kvinnor i Karlskrona kommun,,,,,Utrikes födda (Kvinnor),Utrikes födda (Kvinnor),Utrikes födda (Kvinnor),"[""linear""; ""log""]",,,,utrikes_fodda_kvinnor
utrikes_fodda_man,,measure,Antal utrikes födda män i Karlskrona kommun,,,,,Utrikes födda (Män),Utrikes födda (Män),Utrikes födda Män,"[""linear""; ""log""]",,,,utrikes_fodda_man
