geo,time,befolkning_alder_16_24_ar
8001,2000,90
8001,2001,94
8001,2002,86
8001,2003,85
8001,2004,93
8001,2005,94
8001,2006,84
8001,2007,96
8001,2008,95
8001,2009,115
8001,2010,128
8001,2011,129
8001,2012,128
8001,2013,108
8001,2014,112
8001,2015,112
8001,2016,142
8001,2017,129
8002,2000,82
8002,2001,80
8002,2002,72
8002,2003,78
8002,2004,88
8002,2005,73
8002,2006,85
8002,2007,86
8002,2008,95
8002,2009,82
8002,2010,83
8002,2011,81
8002,2012,79
8002,2013,82
8002,2014,85
8002,2015,80
8002,2016,86
8002,2017,89
8003,2000,318
8003,2001,299
8003,2002,283
8003,2003,270
8003,2004,301
8003,2005,330
8003,2006,346
8003,2007,345
8003,2008,316
8003,2009,323
8003,2010,352
8003,2011,359
8003,2012,369
8003,2013,374
8003,2014,370
8003,2015,374
8003,2016,363
8003,2017,342
8004,2000,152
8004,2001,145
8004,2002,132
8004,2003,120
8004,2004,151
8004,2005,163
8004,2006,163
8004,2007,140
8004,2008,171
8004,2009,167
8004,2010,178
8004,2011,177
8004,2012,160
8004,2013,166
8004,2014,167
8004,2015,165
8004,2016,170
8004,2017,153
8005,2000,153
8005,2001,152
8005,2002,144
8005,2003,121
8005,2004,112
8005,2005,137
8005,2006,138
8005,2007,128
8005,2008,131
8005,2009,135
8005,2010,150
8005,2011,155
8005,2012,153
8005,2013,161
8005,2014,162
8005,2015,178
8005,2016,180
8005,2017,185
8006,2000,111
8006,2001,97
8006,2002,80
8006,2003,98
8006,2004,101
8006,2005,106
8006,2006,118
8006,2007,122
8006,2008,122
8006,2009,113
8006,2010,119
8006,2011,123
8006,2012,128
8006,2013,124
8006,2014,140
8006,2015,135
8006,2016,120
8006,2017,133
8007,2000,206
8007,2001,181
8007,2002,169
8007,2003,173
8007,2004,181
8007,2005,186
8007,2006,216
8007,2007,217
8007,2008,262
8007,2009,232
8007,2010,230
8007,2011,229
8007,2012,225
8007,2013,224
8007,2014,237
8007,2015,237
8007,2016,231
8007,2017,232
8008,2000,216
8008,2001,184
8008,2002,201
8008,2003,176
8008,2004,173
8008,2005,187
8008,2006,192
8008,2007,184
8008,2008,189
8008,2009,197
8008,2010,195
8008,2011,200
8008,2012,193
8008,2013,226
8008,2014,215
8008,2015,204
8008,2016,214
8008,2017,196
8009,2000,280
8009,2001,275
8009,2002,250
8009,2003,254
8009,2004,233
8009,2005,208
8009,2006,201
8009,2007,217
8009,2008,225
8009,2009,239
8009,2010,244
8009,2011,219
8009,2012,259
8009,2013,280
8009,2014,257
8009,2015,315
8009,2016,307
8009,2017,272
8011,2000,110
8011,2001,107
8011,2002,113
8011,2003,121
8011,2004,119
8011,2005,106
8011,2006,109
8011,2007,113
8011,2008,123
8011,2009,113
8011,2010,113
8011,2011,100
8011,2012,105
8011,2013,120
8011,2014,132
8011,2015,116
8011,2016,113
8011,2017,107
8012,2000,182
8012,2001,188
8012,2002,190
8012,2003,193
8012,2004,184
8012,2005,182
8012,2006,175
8012,2007,182
8012,2008,187
8012,2009,190
8012,2010,211
8012,2011,216
8012,2012,238
8012,2013,232
8012,2014,214
8012,2015,201
8012,2016,198
8012,2017,192
8013,2000,129
8013,2001,126
8013,2002,110
8013,2003,111
8013,2004,101
