geo,time,befolkning_alder_65_war
8001,2000,161
8001,2001,162
8001,2002,154
8001,2003,145
8001,2004,147
8001,2005,147
8001,2006,150
8001,2007,175
8001,2008,212
8001,2009,236
8001,2010,250
8001,2011,262
8001,2012,275
8001,2013,292
8001,2014,300
8001,2015,308
8001,2016,318
8001,2017,333
8002,2000,95
8002,2001,94
8002,2002,93
8002,2003,96
8002,2004,103
8002,2005,99
8002,2006,97
8002,2007,97
8002,2008,97
8002,2009,101
8002,2010,107
8002,2011,115
8002,2012,116
8002,2013,111
8002,2014,117
8002,2015,121
8002,2016,118
8002,2017,125
8003,2000,632
8003,2001,627
8003,2002,625
8003,2003,612
8003,2004,617
8003,2005,594
8003,2006,585
8003,2007,577
8003,2008,579
8003,2009,569
8003,2010,563
8003,2011,559
8003,2012,569
8003,2013,564
8003,2014,550
8003,2015,541
8003,2016,539
8003,2017,551
8004,2000,306
8004,2001,301
8004,2002,293
8004,2003,280
8004,2004,274
8004,2005,274
8004,2006,277
8004,2007,274
8004,2008,264
8004,2009,268
8004,2010,273
8004,2011,280
8004,2012,289
8004,2013,283
8004,2014,274
8004,2015,277
8004,2016,283
8004,2017,278
8005,2000,219
8005,2001,210
8005,2002,209
8005,2003,205
8005,2004,198
8005,2005,190
8005,2006,176
8005,2007,185
8005,2008,181
8005,2009,171
8005,2010,176
8005,2011,183
8005,2012,194
8005,2013,205
8005,2014,213
8005,2015,212
8005,2016,220
8005,2017,243
8006,2000,93
8006,2001,96
8006,2002,104
8006,2003,100
8006,2004,96
8006,2005,99
8006,2006,99
8006,2007,109
8006,2008,111
8006,2009,120
8006,2010,130
8006,2011,128
8006,2012,126
8006,2013,125
8006,2014,131
8006,2015,133
8006,2016,137
8006,2017,131
8007,2000,259
8007,2001,252
8007,2002,259
8007,2003,251
8007,2004,244
8007,2005,289
8007,2006,292
8007,2007,289
8007,2008,289
8007,2009,279
8007,2010,267
8007,2011,263
8007,2012,251
8007,2013,258
8007,2014,256
8007,2015,261
8007,2016,263
8007,2017,254
8008,2000,270
8008,2001,272
8008,2002,283
8008,2003,284
8008,2004,293
8008,2005,289
8008,2006,292
8008,2007,310
8008,2008,297
8008,2009,302
8008,2010,302
8008,2011,300
8008,2012,297
8008,2013,300
8008,2014,309
8008,2015,311
8008,2016,315
8008,2017,316
8009,2000,433
8009,2001,419
8009,2002,395
8009,2003,398
8009,2004,400
8009,2005,406
8009,2006,427
8009,2007,425
8009,2008,417
8009,2009,422
8009,2010,435
8009,2011,428
8009,2012,418
8009,2013,409
8009,2014,400
8009,2015,414
8009,2016,401
8009,2017,409
8011,2000,315
8011,2001,308
8011,2002,305
8011,2003,297
8011,2004,297
8011,2005,297
8011,2006,288
8011,2007,292
8011,2008,295
8011,2009,288
8011,2010,291
8011,2011,297
8011,2012,300
8011,2013,307
8011,2014,314
8011,2015,331
8011,2016,342
8011,2017,342
8012,2000,560
8012,2001,567
8012,2002,578
8012,2003,554
8012,2004,564
8012,2005,531
8012,2006,553
8012,2007,546
8012,2008,556
8012,2009,560
8012,2010,558
8012,2011,560
8012,2012,552
8012,2013,594
8012,2014,624
8012,2015,619
8012,2016,618
8012,2017,624
8013,2000,13
8013,2001,13
8013,2002,17
8013,2003,18
8013,2004,12
8013,2005,12
8013,2006,12
8013,2007,16
8013,2008,20
8013,2009,23
8013,2010,23
8013,2011,27
8013,2012,29
8013,2013,28
8013,2014,26
8013,2015,27
8013,2016,30
8013,2017,30
8014,2000,247
8014,2001,244
8014,2002,239
8014,2003,230
8014,2004,222
8014,2005,219
8014,2006,219
8014,2007,217
8014,2008,207
8014,2009,195
8014,2010,194
8014,2011,188
8014,2012,192
8014,2013,186
8014,2014,171
8014,2015,178
8014,2016,190
8014,2017,190
8015,2000,60
8015,2001,61
8015,2002,55
8015,2003,53
8015,2004,48
8015,2005,47
8015,2006,46
8015,2007,43
8015,2008,41
8015,2009,40
8015,2010,39
8015,2011,37
8015,2012,38
8015,2013,36
8015,2014,37
8015,2015,34
8015,2016,35
8015,2017,45
8016,2000,89
8016,2001,88
8016,2002,88
8016,2003,91
8016,2004,86
8016,2005,86
8016,2006,76
8016,2007,71
8016,2008,68
8016,2009,70
8016,2010,72
8016,2011,77
8016,2012,76
8016,2013,75
8016,2014,72
8016,2015,75
8016,2016,76
8016,2017,73
8017,2000,53
8017,2001,53
