geo,time,befolkning_total
8001,2000,857
8001,2001,851
8001,2002,823
8001,2003,832
8001,2004,850
8001,2005,874
8001,2006,850
8001,2007,1005
8001,2008,1096
8001,2009,1123
8001,2010,1207
8001,2011,1227
8001,2012,1267
8001,2013,1238
8001,2014,1221
8001,2015,1217
8001,2016,1232
8001,2017,1199
8002,2000,639
8002,2001,635
8002,2002,622
8002,2003,648
8002,2004,644
8002,2005,637
8002,2006,626
8002,2007,637
8002,2008,627
8002,2009,624
8002,2010,609
8002,2011,626
8002,2012,630
8002,2013,655
8002,2014,656
8002,2015,659
8002,2016,671
8002,2017,663
8003,2000,2243
8003,2001,2212
8003,2002,2217
8003,2003,2171
8003,2004,2200
8003,2005,2190
8003,2006,2225
8003,2007,2213
8003,2008,2214
8003,2009,2181
8003,2010,2220
8003,2011,2224
8003,2012,2241
8003,2013,2275
8003,2014,2269
8003,2015,2292
8003,2016,2349
8003,2017,2419
8004,2000,978
8004,2001,960
8004,2002,937
8004,2003,904
8004,2004,909
8004,2005,947
8004,2006,1001
8004,2007,972
8004,2008,998
8004,2009,1001
8004,2010,1009
8004,2011,1013
8004,2012,994
8004,2013,984
8004,2014,1005
8004,2015,1022
8004,2016,1057
8004,2017,1034
8005,2000,946
8005,2001,924
8005,2002,924
8005,2003,910
8005,2004,880
8005,2005,921
8005,2006,880
8005,2007,873
8005,2008,849
8005,2009,836
8005,2010,877
8005,2011,889
8005,2012,911
8005,2013,929
8005,2014,942
8005,2015,989
8005,2016,1022
8005,2017,1065
8006,2000,630
8006,2001,625
8006,2002,627
8006,2003,658
8006,2004,661
8006,2005,663
8006,2006,664
8006,2007,685
8006,2008,679
8006,2009,684
8006,2010,688
8006,2011,692
8006,2012,699
8006,2013,697
8006,2014,705
8006,2015,683
8006,2016,711
8006,2017,718
8007,2000,1140
8007,2001,1123
8007,2002,1166
8007,2003,1173
8007,2004,1184
8007,2005,1285
8007,2006,1299
8007,2007,1287
8007,2008,1319
8007,2009,1335
8007,2010,1330
8007,2011,1365
8007,2012,1275
8007,2013,1330
8007,2014,1384
8007,2015,1416
8007,2016,1432
8007,2017,1502
8008,2000,1330
8008,2001,1299
8008,2002,1296
8008,2003,1269
8008,2004,1257
8008,2005,1311
8008,2006,1316
8008,2007,1300
8008,2008,1290
8008,2009,1336
8008,2010,1329
8008,2011,1330
8008,2012,1307
8008,2013,1308
8008,2014,1328
8008,2015,1341
8008,2016,1418
8008,2017,1385
8009,2000,1750
8009,2001,1735
8009,2002,1688
8009,2003,1735
8009,2004,1720
8009,2005,1722
8009,2006,1774
8009,2007,1736
8009,2008,1710
8009,2009,1747
8009,2010,1795
8009,2011,1720
8009,2012,1761
8009,2013,1797
8009,2014,1797
8009,2015,1862
8009,2016,1852
8009,2017,1839
8011,2000,1155
8011,2001,1152
8011,2002,1140
8011,2003,1134
8011,2004,1130
8011,2005,1109
8011,2006,1094
8011,2007,1114
8011,2008,1130
8011,2009,1129
8011,2010,1135
8011,2011,1113
8011,2012,1113
8011,2013,1115
8011,2014,1123
8011,2015,1131
8011,2016,1146
8011,2017,1145
8012,2000,1650
8012,2001,1642
8012,2002,1698
8012,2003,1669
8012,2004,1706
8012,2005,1656
8012,2006,1659
8012,2007,1653
8012,2008,1668
8012,2009,1688
8012,2010,1683
8012,2011,1669
8012,2012,1649
8012,2013,1706
8012,2014,1732
8012,2015,1736
8012,2016,1751
8012,2017,1751
8013,2000,263
8013,2001,268
8013,2002,256
8013,2003,275
8013,2004,257
8013,2005,279
8013,2006,321
8013,2007,328
8013,2008,316
8013,2009,346
8013,2010,420
8013,2011,517
8013,2012,477
8013,2013,449
8013,2014,473
8013,2015,464
8013,2016,462
8013,2017,428
8014,2000,1496
8014,2001,1512
8014,2002,1514
8014,2003,1547
8014,2004,1559
8014,2005,1527
8014,2006,1566
8014,2007,1571
8014,2008,1635
8014,2009,1777
8014,2010,1898
8014,2011,1861
8014,2012,1794
8014,2013,1774
8014,2014,1752
8014,2015,1807
8014,2016,1807
8014,2017,1784
8015,2000,383
8015,2001,381
8015,2002,379
8015,2003,381
8015,2004,369
8015,2005,379
8015,2006,377
8015,2007,370
8015,2008,373
8015,2009,391
8015,2010,374
8015,2011,389
8015,2012,379
8015,2013,370
8015,2014,378
8015,2015,372
8015,2016,363
8015,2017,354
8016,2000,543
8016,2001,538
8016,2002,546
8016,2003,529
8016,2004,538
8016,2005,534
8016,2006,538
8016,2007,567
8016,2008,564
8016,2009,549
8016,2010,550
8016,2011,565
8016,2012,557
8016,2013,567
8016,2014,571
8016,2015,565
8016,2016,557
8016,2017,558
8017,2000,423
8017,2001,448
8017,2002,426
8017,2003,413
8017,2004,422
8017,2005,419
8017,2006,448
8017,2007,482
8017,2008,578
8017,2009,704
