geo,time,boende_efter_bostadstyp_bostadsratt
8001,2000,15
8001,2001,15
8001,2002,16
8001,2003,16
8001,2004,17
8001,2005,17
8001,2006,19
8001,2007,12
8001,2008,12
8001,2009,265
8001,2010,354
8001,2011,370
8001,2012,377
8001,2013,374
8001,2014,358
8001,2015,352
8001,2016,333
8001,2017,326
8002,2000,34
8002,2001,34
8002,2002,34
8002,2003,34
8002,2004,29
8002,2005,29
8002,2006,32
8002,2007,33
8002,2008,34
8002,2009,35
8002,2010,35
8002,2011,37
8002,2012,33
8002,2013,37
8002,2014,34
8002,2015,31
8002,2016,32
8002,2017,30
8003,2000,495
8003,2001,495
8003,2002,472
8003,2003,472
8003,2004,480
8003,2005,480
8003,2006,478
8003,2007,514
8003,2008,515
8003,2009,522
8003,2010,506
8003,2011,510
8003,2012,512
8003,2013,507
8003,2014,514
8003,2015,513
8003,2016,528
8003,2017,550
8004,2000,182
8004,2001,182
8004,2002,181
8004,2003,181
8004,2004,178
8004,2005,178
8004,2006,175
8004,2007,172
8004,2008,168
8004,2009,172
8004,2010,162
8004,2011,173
8004,2012,173
8004,2013,173
8004,2014,170
8004,2015,178
8004,2016,179
8004,2017,181
8005,2000,217
8005,2001,217
8005,2002,220
8005,2003,220
8005,2004,203
8005,2005,203
8005,2006,187
8005,2007,182
8005,2008,190
8005,2009,185
8005,2010,184
8005,2011,200
8005,2012,203
8005,2013,211
8005,2014,206
8005,2015,218
8005,2016,206
8005,2017,255
8006,2000,284
8006,2001,284
8006,2002,287
8006,2003,287
8006,2004,283
8006,2005,283
8006,2006,288
8006,2007,301
8006,2008,304
8006,2009,301
8006,2010,299
8006,2011,301
8006,2012,304
8006,2013,293
8006,2014,294
8006,2015,378
8006,2016,391
8006,2017,389
8007,2000,123
8007,2001,123
8007,2002,126
8007,2003,126
8007,2004,112
8007,2005,112
8007,2006,120
8007,2007,118
8007,2008,116
8007,2009,125
8007,2010,132
8007,2011,137
8007,2012,130
8007,2013,127
8007,2014,128
8007,2015,126
8007,2016,137
8007,2017,148
8008,2000,335
8008,2001,335
8008,2002,391
8008,2003,391
