geo,time,boende_efter_bostadstyp_flerbostadshus_hyresratt
8001,2000,573
8001,2001,573
8001,2002,536
8001,2003,536
8001,2004,527
8001,2005,527
8001,2006,533
8001,2007,689
8001,2008,769
8001,2009,532
8001,2010,541
8001,2011,545
8001,2012,570
8001,2013,542
8001,2014,543
8001,2015,537
8001,2016,584
8001,2017,560
8002,2000,311
8002,2001,311
8002,2002,297
8002,2003,297
8002,2004,332
8002,2005,332
8002,2006,310
8002,2007,324
8002,2008,306
8002,2009,300
8002,2010,292
8002,2011,299
8002,2012,303
8002,2013,318
8002,2014,314
8002,2015,319
8002,2016,329
8002,2017,334
8003,2000,1576
8003,2001,1576
8003,2002,1590
8003,2003,1590
8003,2004,1572
8003,2005,1572
8003,2006,1601
8003,2007,1556
8003,2008,1520
8003,2009,1527
8003,2010,1570
8003,2011,1572
8003,2012,1588
8003,2013,1622
8003,2014,1621
8003,2015,1631
8003,2016,1682
8003,2017,1724
8004,2000,786
8004,2001,786
8004,2002,743
8004,2003,743
8004,2004,722
8004,2005,722
8004,2006,742
8004,2007,717
8004,2008,740
8004,2009,732
8004,2010,753
8004,2011,751
8004,2012,734
8004,2013,722
8004,2014,752
8004,2015,758
8004,2016,795
8004,2017,773
8005,2000,710
8005,2001,710
8005,2002,688
8005,2003,688
8005,2004,662
8005,2005,662
8005,2006,677
8005,2007,674
8005,2008,644
8005,2009,640
8005,2010,681
8005,2011,679
8005,2012,697
8005,2013,708
8005,2014,724
8005,2015,762
8005,2016,799
8005,2017,799
8006,2000,333
8006,2001,333
8006,2002,624
8006,2003,624
8006,2004,352
8006,2005,352
8006,2006,345
8006,2007,356
8006,2008,346
8006,2009,355
8006,2010,363
8006,2011,365
8006,2012,371
8006,2013,379
8006,2014,389
8006,2015,281
8006,2016,288
8006,2017,289
8007,2000,993
8007,2001,993
8007,2002,1037
8007,2003,1037
8007,2004,1069
8007,2005,1069
8007,2006,1176
8007,2007,1166
8007,2008,1196
8007,2009,1207
8007,2010,1195
