geo,time,inrikes_fodda_summa
8001,2000,789
8001,2001,789
8001,2002,789
8001,2003,795
8001,2004,815
8001,2005,831
8001,2006,808
8001,2007,944
8001,2008,1026
8001,2009,1051
8001,2010,1121
8001,2011,1133
8001,2012,1173
8001,2013,1140
8001,2014,1135
8001,2015,1100
8001,2016,1064
8001,2017,1049
8002,2000,598
8002,2001,598
8002,2002,598
8002,2003,628
8002,2004,627
8002,2005,611
8002,2006,600
8002,2007,605
8002,2008,601
8002,2009,589
8002,2010,584
8002,2011,591
8002,2012,593
8002,2013,620
8002,2014,618
8002,2015,618
8002,2016,616
8002,2017,593
8003,2000,2091
8003,2001,2091
8003,2002,2091
8003,2003,2049
8003,2004,2084
8003,2005,2070
8003,2006,2089
8003,2007,2075
8003,2008,2049
8003,2009,2019
8003,2010,2053
8003,2011,2077
8003,2012,2085
8003,2013,2103
8003,2014,2084
8003,2015,2075
8003,2016,2101
8003,2017,2147
8004,2000,872
8004,2001,872
8004,2002,872
8004,2003,835
8004,2004,840
8004,2005,883
8004,2006,925
8004,2007,890
8004,2008,913
8004,2009,922
8004,2010,925
8004,2011,925
8004,2012,913
8004,2013,895
8004,2014,897
8004,2015,896
8004,2016,920
8004,2017,890
8005,2000,867
8005,2001,867
8005,2002,867
8005,2003,857
8005,2004,822
8005,2005,860
8005,2006,833
8005,2007,815
8005,2008,787
8005,2009,764
8005,2010,789
8005,2011,805
8005,2012,821
8005,2013,836
8005,2014,839
8005,2015,850
8005,2016,840
8005,2017,885
8006,2000,583
8006,2001,583
8006,2002,583
8006,2003,602
8006,2004,619
8006,2005,612
8006,2006,606
8006,2007,625
8006,2008,621
8006,2009,617
8006,2010,621
8006,2011,627
8006,2012,628
8006,2013,630
8006,2014,631
8006,2015,606
8006,2016,627
8006,2017,621
8007,2000,1089
8007,2001,1089
8007,2002,1089
8007,2003,1100
8007,2004,1099
8007,2005,1200
8007,2006,1208
8007,2007,1182
8007,2008,1176
8007,2009,1162
8007,2010,1146
8007,2011,1173
8007,2012,1111
8007,2013,1135
8007,2014,1164
8007,2015,1204
8007,2016,1182
8007,2017,1175
8008,2000,1205
8008,2001,1205
8008,2002,1205
8008,2003,1183
8008,2004,1174
8008,2005,1212
8008,2006,1218
8008,2007,1195
8008,2008,1170
8008,2009,1213
8008,2010,1218
8008,2011,1217
8008,2012,1212
8008,2013,1201
8008,2014,1219
8008,2015,1231
8008,2016,1274
8008,2017,1226
8009,2000,1582
8009,2001,1582
8009,2002,1582
8009,2003,1632
8009,2004,1597
8009,2005,1591
8009,2006,1626
8009,2007,1590
8009,2008,1562
8009,2009,1587
8009,2010,1631
8009,2011,1565
8009,2012,1600
8009,2013,1635
8009,2014,1603
8009,2015,1606
8009,2016,1613
8009,2017,1606
8011,2000,1102
8011,2001,1102
8011,2002,1102
8011,2003,1097
8011,2004,1092
8011,2005,1070
8011,2006,1054
8011,2007,1072
8011,2008,1088
8011,2009,1078
8011,2010,1074
8011,2011,1053
8011,2012,1043
8011,2013,1040
8011,2014,1049
8011,2015,1057
8011,2016,1067
8011,2017,1062
8012,2000,1536
8012,2001,1536
8012,2002,1536
8012,2003,1547
8012,2004,1563
8012,2005,1486
8012,2006,1494
8012,2007,1462
8012,2008,1427
8012,2009,1419
8012,2010,1420
8012,2011,1414
8012,2012,1395
8012,2013,1437
8012,2014,1450
8012,2015,1448
8012,2016,1450
8012,2017,1469
8013,2000,214
8013,2001,214
8013,2002,214
8013,2003,210
8013,2004,187
8013,2005,191
8013,2006,192
8013,2007,186
8013,2008,168
8013,2009,180
8013,2010,228
8013,2011,261
8013,2012,278
8013,2013,309
8013,2014,331
8013,2015,319
8013,2016,324
8013,2017,299
8014,2000,1333
8014,2001,1333
8014,2002,1333
8014,2003,1346
8014,2004,1333
8014,2005,1285
8014,2006,1278
8014,2007,1221
8014,2008,1168
8014,2009,1157
8014,2010,1152
8014,2011,1159
8014,2012,1139
8014,2013,1151
8014,2014,1130
8014,2015,1162
8014,2016,1175
8014,2017,1157
8015,2000,369
8015,2001,369
8015,2002,369
8015,2003,367
8015,2004,359
8015,2005,369
8015,2006,367
8015,2007,358
8015,2008,360
8015,2009,370
8015,2010,353
8015,2011,362
8015,2012,357
8015,2013,343
8015,2014,350
8015,2015,344
8015,2016,338
8015,2017,331
8016,2000,528
8016,2001,528
8016,2002,528
8016,2003,511
8016,2004,518
8016,2005,513
8016,2006,519
8016,2007,546
8016,2008,543
8016,2009,531
8016,2010,531
8016,2011,542
8016,2012,530
8016,2013,539
8016,2014,540
8016,2015,532
8016,2016,526
8016,2017,528
8017,2000,358
8017,2001,358
8017,2002,358
8017,2003,332
8017,2004,345
8017,2005,341
8017,2006,349
8017,2007,323
8017,2008,364
8017,2009,366
8017,2010,354
8017,2011,365
8017,2012,389
8017,2013,374
8017,2014,359
8017,2015,351
8017,2016,349
8017,2017,337
8018,2000,855
8018,2001,855
8018,2002,855
8018,2003,889
8018,2004,896
8018,2005,894
8018,2006,895
8018,2007,865
8018,2008,871
8018,2009,856
8018,2010,868
8018,2011,842
8018,2012,851
8018,2013,838
8018,2014,830
8018,2015,826
8018,2016,822
8018,2017,819
8019,2000,588
8019,2001,588
8019,2002,588
8019,2003,568
8019,2004,569
8019,2005,564
8019,2006,569
8019,2007,551
8019,2008,554
8019,2009,553
8019,2010,557
8019,2011,550
8019,2012,552
8019,2013,549
8019,2014,549
8019,2015,563
8019,2016,569
8019,2017,569
