geo,time,medelinkomst_20_64_ar_man
8001,2000,239637
8001,2001,255514
8001,2002,260262
8001,2003,269619
8001,2004,275079
8001,2005,280938
8001,2006,300242
8001,2007,322722
8001,2008,339411
8001,2009,341835
8001,2010,347599
8001,2011,377942
8001,2012,359828
8001,2013,374249
8001,2014,372200
8001,2015,381455
8001,2016,357646
8001,2017,374223
8002,2000,256568
8002,2001,259163
8002,2002,269629
8002,2003,264238
8002,2004,272966
8002,2005,274974
8002,2006,290046
8002,2007,288939
8002,2008,293456
8002,2009,306207
8002,2010,307503
8002,2011,313963
8002,2012,315307
8002,2013,333124
8002,2014,339700
8002,2015,338485
8002,2016,341234
8002,2017,347663
8003,2000,214663
8003,2001,231630
8003,2002,231097
8003,2003,230455
8003,2004,239267
8003,2005,253866
8003,2006,269399
8003,2007,270330
8003,2008,274835
8003,2009,270395
8003,2010,269725
8003,2011,277573
8003,2012,284418
8003,2013,292063
8003,2014,291259
8003,2015,294092
8003,2016,303526
8003,2017,314798
8004,2000,199769
8004,2001,204421
8004,2002,214860
8004,2003,223395
8004,2004,213922
8004,2005,247700
8004,2006,260077
8004,2007,262466
8004,2008,264331
8004,2009,261542
8004,2010,268870
8004,2011,286991
8004,2012,286377
8004,2013,285697
8004,2014,300978
8004,2015,311278
8004,2016,310124
8004,2017,312484
8005,2000,235398
8005,2001,224764
8005,2002,245069
8005,2003,236675
8005,2004,245622
8005,2005,260155
8005,2006,260110
8005,2007,265300
8005,2008,266481
8005,2009,262866
8005,2010,252326
8005,2011,263767
8005,2012,269083
8005,2013,262229
8005,2014,267651
8005,2015,276747
8005,2016,266874
8005,2017,282858
8006,2000,234650
8006,2001,250719
8006,2002,263357
8006,2003,258534
8006,2004,263796
8006,2005,275834
8006,2006,290526
8006,2007,290334
8006,2008,270201
8006,2009,268303
8006,2010,285346
8006,2011,293030
8006,2012,300225
8006,2013,318884
8006,2014,309570
8006,2015,307238
8006,2016,305061
8006,2017,313077
8007,2000,224393
8007,2001,236176
8007,2002,237327
8007,2003,247496
8007,2004,243454
8007,2005,256291
8007,2006,262883
8007,2007,271714
8007,2008,252958
8007,2009,258419
8007,2010,262594
8007,2011,262959
8007,2012,279847
8007,2013,282861
8007,2014,280626
8007,2015,286913
8007,2016,297994
8007,2017,294982
8008,2000,237395
8008,2001,265231
8008,2002,244097
8008,2003,269400
8008,2004,262217
8008,2005,267044
8008,2006,285067
8008,2007,297999
8008,2008,302415
8008,2009,304843
8008,2010,297165
8008,2011,292031
8008,2012,305401
8008,2013,304741
8008,2014,323486
8008,2015,317314
8008,2016,313207
8008,2017,311723
8009,2000,241380
8009,2001,250629
8009,2002,266074
8009,2003,256238
8009,2004,266813
8009,2005,277365
8009,2006,290744
8009,2007,293241
8009,2008,304877
8009,2009,304260
8009,2010,297190
8009,2011,310266
8009,2012,324344
8009,2013,328964
8009,2014,317757
8009,2015,309153
8009,2016,313878
8009,2017,329200
8011,2000,258513
8011,2001,273973
8011,2002,293039
8011,2003,289873
8011,2004,304945
8011,2005,323473
8011,2006,338513
8011,2007,356159
8011,2008,345201
8011,2009,350899
8011,2010,338448
8011,2011,354732
8011,2012,364807
8011,2013,370590
8011,2014,371652
8011,2015,375257
8011,2016,383176
8011,2017,410198
8012,2000,193100
8012,2001,201193
8012,2002,218126
8012,2003,234619
8012,2004,243640
8012,2005,242617
8012,2006,256610
8012,2007,257254
8012,2008,242147
8012,2009,232419
8012,2010,236841
8012,2011,240608
8012,2012,250163
8012,2013,271618
8012,2014,265721
8012,2015,266985
8012,2016,271492
8012,2017,283516
8013,2000,123525
8013,2001,114348
8013,2002,119737
8013,2003,103470
8013,2004,135855
8013,2005,124062
8013,2006,111777
8013,2007,115828
8013,2008,123266
8013,2009,108998
8013,2010,116034
8013,2011,69832
8013,2012,75474
8013,2013,76844
8013,2014,66131
8013,2015,70449
8013,2016,82491
8013,2017,84706
8014,2000,160650
8014,2001,173167
8014,2002,183728
8014,2003,190374
8014,2004,187683
8014,2005,187341
8014,2006,186262
8014,2007,179308
8014,2008,157095
8014,2009,129579
8014,2010,110889
8014,2011,119765
8014,2012,129073
8014,2013,135836
8014,2014,141397
8014,2015,137974
8014,2016,151614
8014,2017,166001
8015,2000,347328
8015,2001,343886
8015,2002,380511
8015,2003,394840
8015,2004,384072
8015,2005,418085
8015,2006,432027
8015,2007,418779
8015,2008,440639
8015,2009,396085
8015,2010,397710
8015,2011,397082
8015,2012,388015
8015,2013,437170
8015,2014,463014
8015,2015,466206
8015,2016,506004
8015,2017,492681
8016,2000,352132
8016,2001,364586
8016,2002,369260
8016,2003,401473
8016,2004,404231
8016,2005,409292
8016,2006,427475
8016,2007,438916
8016,2008,459647
8016,2009,458415
8016,2010,469273
8016,2011,471969
8016,2012,476453
8016,2013,480744
8016,2014,473805
8016,2015,516590
8016,2016,516344
8016,2017,501357
8017,2000,127757
8017,2001,129601
8017,2002,141958
8017,2003,151250
8017,2004,152147
8017,2005,166008
8017,2006,168369
8017,2007,115827
8017,2008,107796
8017,2009,69875
8017,2010,61322
8017,2011,71519
8017,2012,89789
8017,2013,96320
8017,2014,109911
8017,2015,113318
8017,2016,125713
8017,2017,144428
8018,2000,313841
8018,2001,324262
8018,2002,343617
8018,2003,348916
8018,2004,350833
8018,2005,367514
8018,2006,386073
8018,2007,398867
