geo,time,medelinkomst_20_64_ar_totalt
8001,2000,211103
8001,2001,223023
8001,2002,227950
8001,2003,234508
8001,2004,241456
8001,2005,245433
8001,2006,262032
8001,2007,285637
8001,2008,305569
8001,2009,305175
8001,2010,308431
8001,2011,331871
8001,2012,322258
8001,2013,334976
8001,2014,343394
8001,2015,350752
8001,2016,339696
8001,2017,355051
8002,2000,220825
8002,2001,223585
8002,2002,233942
8002,2003,230903
8002,2004,238421
8002,2005,241089
8002,2006,251452
8002,2007,253130
8002,2008,265338
8002,2009,271529
8002,2010,279091
8002,2011,285378
8002,2012,287841
8002,2013,302541
8002,2014,317975
8002,2015,313779
8002,2016,317257
8002,2017,322049
8003,2000,191703
8003,2001,206854
8003,2002,208000
8003,2003,211965
8003,2004,215362
8003,2005,222563
8003,2006,236652
8003,2007,242550
8003,2008,246656
8003,2009,242337
8003,2010,245309
8003,2011,255722
8003,2012,261520
8003,2013,269748
8003,2014,269552
8003,2015,275982
8003,2016,284313
8003,2017,298433
8004,2000,180253
8004,2001,185221
8004,2002,196225
8004,2003,204170
8004,2004,194178
8004,2005,215924
8004,2006,228690
8004,2007,236248
8004,2008,238224
8004,2009,234531
8004,2010,243748
8004,2011,248065
8004,2012,258502
8004,2013,259843
8004,2014,268330
8004,2015,277450
8004,2016,282638
8004,2017,291793
8005,2000,205151
8005,2001,202906
8005,2002,218844
8005,2003,220302
8005,2004,228301
8005,2005,229685
8005,2006,237664
8005,2007,248145
8005,2008,253320
8005,2009,258698
8005,2010,255246
8005,2011,256365
8005,2012,256821
8005,2013,255702
8005,2014,262863
8005,2015,269338
8005,2016,266776
8005,2017,279502
8006,2000,201179
8006,2001,214964
8006,2002,224245
8006,2003,229235
8006,2004,233778
8006,2005,243614
8006,2006,259293
8006,2007,264564
8006,2008,251814
8006,2009,247496
8006,2010,258012
8006,2011,259687
8006,2012,268916
8006,2013,277684
8006,2014,282896
8006,2015,296000
8006,2016,296209
8006,2017,306167
8007,2000,194343
8007,2001,206140
8007,2002,206790
8007,2003,213552
8007,2004,211114
8007,2005,221970
8007,2006,228528
8007,2007,236564
8007,2008,228572
8007,2009,230506
8007,2010,239333
8007,2011,242841
8007,2012,252259
8007,2013,256295
8007,2014,259235
8007,2015,267831
8007,2016,276847
8007,2017,274247
8008,2000,203985
8008,2001,224941
8008,2002,220917
8008,2003,230496
8008,2004,230414
8008,2005,235194
8008,2006,250733
8008,2007,262532
8008,2008,266374
8008,2009,267041
8008,2010,266284
8008,2011,264509
8008,2012,277985
8008,2013,282588
8008,2014,293831
8008,2015,297599
8008,2016,295328
8008,2017,298772
8009,2000,208603
8009,2001,221286
8009,2002,233020
8009,2003,227411
8009,2004,234133
8009,2005,247001
8009,2006,256976
8009,2007,258699
8009,2008,267039
8009,2009,267086
8009,2010,262952
8009,2011,274181
8009,2012,287320
8009,2013,293633
8009,2014,291481
8009,2015,286575
8009,2016,296345
8009,2017,313456
8011,2000,228600
8011,2001,240989
8011,2002,255219
8011,2003,257029
8011,2004,266269
8011,2005,278871
8011,2006,290536
8011,2007,304640
8011,2008,300663
8011,2009,307656
8011,2010,303814
8011,2011,316645
8011,2012,324993
8011,2013,324145
8011,2014,331035
8011,2015,342061
8011,2016,351612
8011,2017,375158
8012,2000,172597
8012,2001,184931
8012,2002,197053
8012,2003,212341
8012,2004,219700
8012,2005,221767
8012,2006,231776
8012,2007,232305
8012,2008,221597
8012,2009,217278
8012,2010,222739
8012,2011,227609
8012,2012,240341
8012,2013,255676
8012,2014,253659
8012,2015,256719
8012,2016,262403
8012,2017,273343
8013,2000,121083
8013,2001,113788
8013,2002,118288
8013,2003,114249
8013,2004,135957
8013,2005,125518
8013,2006,116032
8013,2007,119319
8013,2008,127142
8013,2009,113177
8013,2010,114858
8013,2011,77670
8013,2012,85306
8013,2013,89220
8013,2014,81016
8013,2015,88959
8013,2016,99035
8013,2017,105095
8014,2000,143721
8014,2001,154166
8014,2002,160828
8014,2003,168610
8014,2004,167191
8014,2005,166268
8014,2006,172171
8014,2007,165083
8014,2008,150885
8014,2009,133035
8014,2010,119280
8014,2011,124486
8014,2012,133209
8014,2013,137402
8014,2014,143498
8014,2015,144120
8014,2016,158866
8014,2017,171902
8015,2000,279101
8015,2001,287435
8015,2002,310706
8015,2003,316987
8015,2004,316029
8015,2005,323164
8015,2006,339089
8015,2007,344031
8015,2008,365612
8015,2009,340787
8015,2010,341186
8015,2011,345617
8015,2012,344197
8015,2013,381319
8015,2014,401414
8015,2015,414721
8015,2016,431768
8015,2017,438676
8016,2000,285814
8016,2001,299928
8016,2002,310202
8016,2003,327847
8016,2004,329846
8016,2005,340443
8016,2006,351871
8016,2007,369033
8016,2008,379935
8016,2009,381427
8016,2010,379385
8016,2011,382892
8016,2012,398948
8016,2013,408332
8016,2014,406841
8016,2015,440779
8016,2016,449705
8016,2017,453067
8017,2000,126945
8017,2001,126852
8017,2002,142136
8017,2003,141159
8017,2004,150638
8017,2005,154265
8017,2006,156183
8017,2007,123349
8017,2008,127419
8017,2009,95869
8017,2010,87847
8017,2011,93871
8017,2012,116724
8017,2013,119923
8017,2014,127551
8017,2015,130893
8017,2016,142428
8017,2017,160119
8018,2000,253456
8018,2001,268718
8018,2002,284689
8018,2003,292120
8018,2004,297321
8018,2005,311815
8018,2006,322059
8018,2007,332153
8018,2008,345938
8018,2009,350993
8018,2010,358022
8018,2011,354169
8018,2012,372237
8018,2013,367925
8018,2014,391710
8018,2015,408359
8018,2016,423957
8018,2017,438309
8019,2000,276152
8019,2001,285731
8019,2002,298761
8019,2003,307063
8019,2004,309496
8019,2005,323430
8019,2006,338073
8019,2007,342260
8019,2008,348778
8019,2009,360662
8019,2010,374567
8019,2011,399826
8019,2012,402408
8019,2013,414364
8019,2014,438779
8019,2015,440889
8019,2016,453051
8019,2017,458016
8021,2000,199217
8021,2001,205178
8021,2002,224104
8021,2003,233892
8021,2004,223166
8021,2005,238547
8021,2006,232764
8021,2007,236893
8021,2008,244802
8021,2009,249398
8021,2010,245023
8021,2011,249102
8021,2012,254981
8021,2013,270150
8021,2014,257763
8021,2015,253824
8021,2016,258550
8021,2017,271760
8022,2000,115933
8022,2001,129287
8022,2002,132321
8022,2003,132362
8022,2004,130329
8022,2005,137953
8022,2006,134702
8022,2007,136874
8022,2008,138033
8022,2009,125326
8022,2010,123642
8022,2011,126856
8022,2012,127242
8022,2013,135507
8022,2014,134333
8022,2015,131558
8022,2016,137307
8022,2017,152881
8023,2000,155047
8023,2001,141482
8023,2002,176186
8023,2003,167687
8023,2004,182650
8023,2005,186779
8023,2006,216011
8023,2007,247793
8023,2008,268779
8023,2009,282889
8023,2010,242248
8023,2011,217102
8023,2012,216012
8023,2013,219201
8023,2014,252368
8023,2015,207771
8023,2016,207008
8023,2017,223796
8024,2000,104249
8024,2001,111339
8024,2002,113414
8024,2003,110236
8024,2004,102051
8024,2005,95084
8024,2006,89833
8024,2007,85459
8024,2008,81145
8024,2009,81133
8024,2010,73969
8024,2011,69467
8024,2012,85818
8024,2013,92177
8024,2014,97812
8024,2015,102650
8024,2016,112906
8024,2017,121730
8025,2000,222139
8025,2001,227431
8025,2002,236195
8025,2003,238652
8025,2004,244752
8025,2005,251545
8025,2006,267627
8025,2007,279300
8025,2008,278854
8025,2009,275721
8025,2010,284365
8025,2011,287484
8025,2012,297117
8025,2013,299668
8025,2014,302983
8025,2015,298892
8025,2016,291778
8025,2017,312166
8026,2000,227955
8026,2001,229255
8026,2002,240023
8026,2003,244423
8026,2004,254298
8026,2005,261328
8026,2006,275566
8026,2007,275433
8026,2008,283771
8026,2009,285647
8026,2010,297508
8026,2011,299115
8026,2012,306151
8026,2013,308668
8026,2014,312210
8026,2015,316004
8026,2016,319045
8026,2017,336823
8037,2000,267157
8037,2001,272782
8037,2002,309253
8037,2003,301456
8037,2004,322316
8037,2005,367563
8037,2006,353835
8037,2007,372099
8037,2008,369242
8037,2009,386634
8037,2010,396249
8037,2011,427297
8037,2012,423392
8037,2013,434577
8037,2014,462413
8037,2015,500023
8037,2016,512779
8037,2017,545604
8038,2000,278995
8038,2001,288352
8038,2002,295240
8038,2003,307426
8038,2004,318480
8038,2005,349224
8038,2006,370098
8038,2007,372326
8038,2008,393637
8038,2009,385174
8038,2010,390003
8038,2011,392158
8038,2012,392361
8038,2013,444606
8038,2014,410654
8038,2015,427760
8038,2016,420703
8038,2017,451773
8039,2000,212978
8039,2001,224786
8039,2002,236755
8039,2003,245434
