geo,time,nettoflytt_arb
8001,2000,18
8001,2001,-8
8001,2002,-15
8001,2003,13
8001,2004,17
8001,2005,1
8001,2006,-6
8001,2007,106
8001,2008,57
8001,2009,10
8001,2010,58
8001,2011,10
8001,2012,35
8001,2013,-27
8001,2014,-5
8001,2015,-8
8001,2016,-2
8001,2017,0
8002,2000,-7
8002,2001,-7
8002,2002,1
8002,2003,-8
8002,2004,-1
8002,2005,-15
8002,2006,-9
8002,2007,5
8002,2008,3
8002,2009,-11
8002,2010,-11
8002,2011,17
8002,2012,4
8002,2013,18
8002,2014,0
8002,2015,-6
8002,2016,11
8002,2017,0
8003,2000,47
8003,2001,-8
8003,2002,-11
8003,2003,-18
8003,2004,-1
8003,2005,-7
8003,2006,12
8003,2007,29
8003,2008,-11
8003,2009,-14
8003,2010,11
8003,2011,38
8003,2012,5
8003,2013,23
8003,2014,18
8003,2015,12
8003,2016,38
8003,2017,0
8004,2000,10
8004,2001,-12
8004,2002,10
8004,2003,-5
8004,2004,2
8004,2005,35
8004,2006,27
8004,2007,-12
8004,2008,16
8004,2009,-11
8004,2010,11
8004,2011,-6
8004,2012,-4
8004,2013,7
8004,2014,27
8004,2015,-6
8004,2016,11
8004,2017,0
8005,2000,24
8005,2001,8
8005,2002,-4
8005,2003,11
8005,2004,-3
8005,2005,25
8005,2006,-14
8005,2007,-14
8005,2008,-9
8005,2009,9
8005,2010,11
8005,2011,-2
8005,2012,12
8005,2013,19
8005,2014,-8
8005,2015,4
8005,2016,7
8005,2017,0
8006,2000,4
8006,2001,-10
8006,2002,-1
8006,2003,15
8006,2004,8
8006,2005,-9
8006,2006,5
8006,2007,4
8006,2008,-20
8006,2009,6
8006,2010,-2
8006,2011,0
8006,2012,15
8006,2013,3
8006,2014,13
8006,2015,-15
8006,2016,10
8006,2017,0
8007,2000,8
8007,2001,-13
8007,2002,5
8007,2003,8
8007,2004,17
8007,2005,33
8007,2006,-4
8007,2007,-17
8007,2008,-15
8007,2009,-2
8007,2010,-5
8007,2011,14
8007,2012,-26
8007,2013,6
8007,2014,4
8007,2015,29
8007,2016,-2
8007,2017,0
8008,2000,2
8008,2001,-15
8008,2002,-2
8008,2003,-7
8008,2004,-14
8008,2005,38
8008,2006,7
8008,2007,-31
8008,2008,-1
8008,2009,34
8008,2010,-18
8008,2011,15
8008,2012,20
8008,2013,-9
8008,2014,-9
8008,2015,8
8008,2016,29
8008,2017,0
8009,2000,12
8009,2001,0
8009,2002,-11
8009,2003,51
8009,2004,-27
8009,2005,13
8009,2006,31
8009,2007,-26
8009,2008,-17
8009,2009,28
8009,2010,21
8009,2011,-34
8009,2012,24
8009,2013,32
8009,2014,-3
8009,2015,3
8009,2016,6
8009,2017,0
8011,2000,-2
8011,2001,6
8011,2002,3
8011,2003,-1
8011,2004,4
8011,2005,-4
8011,2006,-1
8011,2007,23
8011,2008,13
8011,2009,8
8011,2010,8
8011,2011,-1
8011,2012,7
8011,2013,3
8011,2014,0
8011,2015,16
8011,2016,13
8011,2017,0
8012,2000,6
8012,2001,13
8012,2002,20
8012,2003,18
8012,2004,25
8012,2005,-27
8012,2006,-5
8012,2007,-14
8012,2008,-42
8012,2009,-20
8012,2010,37
8012,2011,-4
8012,2012,20
8012,2013,19
8012,2014,-23
8012,2015,-4
8012,2016,-1
8012,2017,0
8013,2000,-8
8013,2001,-7
8013,2002,-13
8013,2003,-7
8013,2004,-12
8013,2005,-11
8013,2006,-10
8013,2007,-1
8013,2008,-25
8013,2009,-8
8013,2010,6
8013,2011,1
8013,2012,-17
8013,2013,-32
8013,2014,-18
8013,2015,-19
8013,2016,-29
8013,2017,0
8014,2000,-19
8014,2001,2
8014,2002,-31
8014,2003,1
8014,2004,-33
8014,2005,-60
8014,2006,-15
8014,2007,-74
8014,2008,-60
8014,2009,-44
8014,2010,-50
8014,2011,-44
8014,2012,-46
8014,2013,-56
8014,2014,-65
8014,2015,-7
8014,2016,-30
8014,2017,0
8015,2000,5
8015,2001,-2
8015,2002,3
8015,2003,1
8015,2004,1
8015,2005,3
8015,2006,-1
8015,2007,0
8015,2008,2
8015,2009,7
8015,2010,-6
8015,2011,3
8015,2012,-5
8015,2013,-3
8015,2014,3
8015,2015,3
8015,2016,-2
8015,2017,0
8016,2000,-9
8016,2001,4
8016,2002,4
8016,2003,-9
8016,2004,3
8016,2005,-8
8016,2006,10
8016,2007,16
8016,2008,-1
8016,2009,-1
8016,2010,-3
8016,2011,10
8016,2012,-3
8016,2013,4
8016,2014,1
8016,2015,-3
8016,2016,-4
8016,2017,0
8017,2000,5
8017,2001,4
8017,2002,-11
8017,2003,-16
8017,2004,-4
8017,2005,-9
8017,2006,-11
8017,2007,-26
8017,2008,16
8017,2009,-10
8017,2010,-10
8017,2011,-21
8017,2012,-33
8017,2013,9
8017,2014,-21
8017,2015,-13
8017,2016,-18
8017,2017,0
8018,2000,-4
8018,2001,4
8018,2002,-5
8018,2003,15
8018,2004,11
8018,2005,5
8018,2006,7
8018,2007,-2
8018,2008,0
8018,2009,5
8018,2010,2
8018,2011,-14
8018,2012,12
8018,2013,-8
8018,2014,8
8018,2015,5
8018,2016,1
8018,2017,0
8019,2000,-1
8019,2001,1
8019,2002,3
8019,2003,-1
8019,2004,4
8019,2005,0
8019,2006,6
8019,2007,-5
8019,2008,5
8019,2009,-3
8019,2010,6
8019,2011,-1
8019,2012,0
8019,2013,-3
8019,2014,6
8019,2015,6
8019,2016,4
8019,2017,0
8021,2000,3
8021,2001,-6
8021,2002,7
8021,2003,-2
8021,2004,-2
8021,2005,5
8021,2006,-3
8021,2007,2
8021,2008,-8
8021,2009,0
8021,2010,-2
8021,2011,-9
8021,2012,-9
8021,2013,8
8021,2014,-5
8021,2015,2
8021,2016,5
8021,2017,0
8022,2000,20
8022,2001,-10
8022,2002,-10
8022,2003,-23
8022,2004,-28
8022,2005,-37
8022,2006,-29
8022,2007,-20
8022,2008,-5
8022,2009,-18
8022,2010,-11
8022,2011,-18
8022,2012,-29
8022,2013,-21
8022,2014,-24
8022,2015,-24
8022,2016,-29
8022,2017,0
8023,2000,3
8023,2001,2
8023,2002,-2
8023,2003,5
8023,2004,3
8023,2005,5
8023,2006,6
8023,2007,5
8023,2008,2
8023,2009,-6
8023,2010,12
8023,2011,-1
8023,2012,-9
8023,2013,14
8023,2014,5
8023,2015,4
8023,2016,4
8023,2017,0
8024,2000,6
8024,2001,13
8024,2002,-6
8024,2003,-8
8024,2004,-52
8024,2005,-39
8024,2006,-23
8024,2007,-42
8024,2008,-57
8024,2009,-31
8024,2010,-41
8024,2011,-29
8024,2012,-25
8024,2013,-16
8024,2014,-31
8024,2015,-21
8024,2016,-40
8024,2017,0
8025,2000,4
8025,2001,-5
8025,2002,6
8025,2003,11
8025,2004,11
8025,2005,3
8025,2006,4
8025,2007,12
8025,2008,19
8025,2009,5
8025,2010,5
8025,2011,6
8025,2012,5
8025,2013,3
8025,2014,24
8025,2015,5
8025,2016,-2
8025,2017,0
8026,2000,0
8026,2001,14
8026,2002,-3
8026,2003,12
8026,2004,-2
8026,2005,20
8026,2006,-4
8026,2007,-8
8026,2008,1
8026,2009,12
8026,2010,-1
8026,2011,4
8026,2012,3
8026,2013,7
8026,2014,-24
8026,2015,6
8026,2016,-5
8026,2017,0
8037,2000,12
8037,2001,-2
8037,2002,2
8037,2003,9
8037,2004,-1
8037,2005,1
8037,2006,1
8037,2007,-3
8037,2008,-1
8037,2009,-3
8037,2010,15
8037,2011,35
8037,2012,7
8037,2013,2
8037,2014,1
8037,2015,13
8037,2016,-8
8037,2017,0
8038,2000,10
8038,2001,4
8038,2002,1
8038,2003,6
8038,2004,-1
8038,2005,-1
8038,2006,3
8038,2007,1
8038,2008,0
8038,2009,-1
8038,2010,1
8038,2011,4
8038,2012,-5
8038,2013,-3
8038,2014,-2
8038,2015,-3
8038,2016,4
8038,2017,0
8039,2000,-1
8039,2001,-16
8039,2002,11
8039,2003,23
8039,2004,3
8039,2005,4
8039,2006,4
8039,2007,30
8039,2008,24
8039,2009,2
8039,2010,9
8039,2011,6
8039,2012,-15
8039,2013,-12
8039,2014,-5
8039,2015,24
8039,2016,2
8039,2017,0
8041,2000,-1
8041,2001,4
8041,2002,3
8041,2003,-1
8041,2004,3
8041,2005,-1
8041,2006,11
8041,2007,3
8041,2008,3
8041,2009,-1
8041,2010,-1
8041,2011,-1
8041,2012,0
8041,2013,-9
8041,2014,10
8041,2015,14
8041,2016,7
8041,2017,0
8042,2000,2
8042,2001,6
8042,2002,2
8042,2003,-1
8042,2004,-3
8042,2005,-6
8042,2006,-2
8042,2007,1
8042,2008,-5
8042,2009,-6
8042,2010,3
8042,2011,-3
8042,2012,-1
8042,2013,-2
8042,2014,6
8042,2015,-10
8042,2016,-1
8042,2017,0
8043,2000,4
8043,2001,-2
8043,2002,-1
8043,2003,-7
8043,2004,4
8043,2005,-3
8043,2006,-2
8043,2007,7
8043,2008,-5
8043,2009,5
8043,2010,-3
8043,2011,9
8043,2012,-5
8043,2013,7
8043,2014,1
8043,2015,5
8043,2016,0
8043,2017,0
8044,2000,-3
8044,2001,-2
8044,2002,6
8044,2003,2
8044,2004,4
8044,2005,-2
8044,2006,-1
8044,2007,-2
8044,2008,1
8044,2009,-2
8044,2010,3
8044,2011,-2
8044,2012,-6
8044,2013,-6
8044,2014,-1
8044,2015,2
8044,2016,-1
8044,2017,0
8045,2000,6
8045,2001,-2
8045,2002,7
8045,2003,-2
8045,2004,-10
8045,2005,-3
8045,2006,0
8045,2007,14
8045,2008,-11
8045,2009,-3
8045,2010,4
8045,2011,-3
8045,2012,4
8045,2013,8
8045,2014,4
8045,2015,8
8045,2016,3
8045,2017,0
8057,2000,-2
8057,2001,4
8057,2002,-1
8057,2003,6
8057,2004,8
8057,2005,-1
8057,2006,-2
8057,2007,6
8057,2008,2
8057,2009,6
