geo,time,nettoflytt_arb_ackumulerat
8001,2000,18
8001,2001,10
8001,2002,-5
8001,2003,8
8001,2004,25
8001,2005,26
8001,2006,20
8001,2007,126
8001,2008,183
8001,2009,193
8001,2010,251
8001,2011,261
8001,2012,296
8001,2013,269
8001,2014,264
8001,2015,256
8001,2016,254
8001,2017,254
8002,2000,-7
8002,2001,-14
8002,2002,-13
8002,2003,-21
8002,2004,-22
8002,2005,-37
8002,2006,-43
8002,2007,-38
8002,2008,-35
8002,2009,-46
8002,2010,-57
8002,2011,-40
8002,2012,-36
8002,2013,-18
8002,2014,-18
8002,2015,-24
8002,2016,-13
8002,2017,-13
8003,2000,47
8003,2001,39
8003,2002,28
8003,2003,10
8003,2004,9
8003,2005,2
8003,2006,14
8003,2007,43
8003,2008,32
8003,2009,18
8003,2010,29
8003,2011,67
8003,2012,72
8003,2013,95
8003,2014,113
8003,2015,125
8003,2016,163
8003,2017,163
8004,2000,10
8004,2001,-2
8004,2002,8
8004,2003,3
8004,2004,5
8004,2005,40
8004,2006,67
8004,2007,55
8004,2008,71
8004,2009,60
8004,2010,71
8004,2011,65
8004,2012,61
8004,2013,68
8004,2014,95
8004,2015,89
8004,2016,100
8004,2017,100
8005,2000,24
8005,2001,32
8005,2002,28
8005,2003,39
8005,2004,36
8005,2005,61
8005,2006,47
8005,2007,33
8005,2008,24
8005,2009,33
8005,2010,44
8005,2011,42
8005,2012,54
8005,2013,73
8005,2014,65
8005,2015,69
8005,2016,76
8005,2017,76
8006,2000,4
8006,2001,-6
8006,2002,-7
8006,2003,8
8006,2004,16
8006,2005,7
8006,2006,12
8006,2007,16
8006,2008,-4
8006,2009,2
8006,2010,0
8006,2011,0
8006,2012,15
8006,2013,18
8006,2014,31
8006,2015,16
8006,2016,26
8006,2017,26
8007,2000,8
8007,2001,-5
8007,2002,0
8007,2003,8
8007,2004,25
8007,2005,58
8007,2006,54
8007,2007,37
8007,2008,22
8007,2009,20
8007,2010,15
8007,2011,29
8007,2012,3
8007,2013,9
8007,2014,13
8007,2015,42
8007,2016,40
8007,2017,40
8008,2000,2
8008,2001,-13
8008,2002,-15
8008,2003,-22
8008,2004,-36
8008,2005,2
8008,2006,9
8008,2007,-22
8008,2008,-23
8008,2009,11
8008,2010,-7
8008,2011,8
8008,2012,28
8008,2013,19
8008,2014,10
8008,2015,18
8008,2016,47
8008,2017,47
8009,2000,12
8009,2001,12
8009,2002,1
8009,2003,52
8009,2004,25
8009,2005,38
8009,2006,69
8009,2007,43
8009,2008,26
8009,2009,54
8009,2010,75
8009,2011,41
8009,2012,65
8009,2013,97
8009,2014,94
8009,2015,97
8009,2016,103
8009,2017,103
8011,2000,-2
8011,2001,4
8011,2002,7
8011,2003,6
8011,2004,10
8011,2005,6
8011,2006,5
8011,2007,28
8011,2008,41
8011,2009,49
8011,2010,57
8011,2011,56
8011,2012,63
8011,2013,66
8011,2014,66
8011,2015,82
8011,2016,95
8011,2017,95
8012,2000,6
8012,2001,19
8012,2002,39
8012,2003,57
8012,2004,82
8012,2005,55
8012,2006,50
8012,2007,36
8012,2008,-6
8012,2009,-26
8012,2010,11
8012,2011,7
8012,2012,27
8012,2013,46
8012,2014,23
8012,2015,19
8012,2016,18
8012,2017,18
8013,2000,-8
8013,2001,-15
8013,2002,-28
8013,2003,-35
8013,2004,-47
8013,2005,-58
8013,2006,-68
8013,2007,-69
8013,2008,-94
8013,2009,-102
8013,2010,-96
8013,2011,-95
8013,2012,-112
8013,2013,-144
8013,2014,-162
8013,2015,-181
8013,2016,-210
8013,2017,-210
8014,2000,-19
8014,2001,-17
8014,2002,-48
8014,2003,-47
8014,2004,-80
8014,2005,-140
8014,2006,-155
8014,2007,-229
8014,2008,-289
8014,2009,-333
8014,2010,-383
8014,2011,-427
8014,2012,-473
8014,2013,-529
8014,2014,-594
8014,2015,-601
8014,2016,-631
8014,2017,-631
8015,2000,5
8015,2001,3
8015,2002,6
8015,2003,7
8015,2004,8
8015,2005,11
8015,2006,10
8015,2007,10
8015,2008,12
8015,2009,19
8015,2010,13
8015,2011,16
8015,2012,11
8015,2013,8
8015,2014,11
8015,2015,14
8015,2016,12
8015,2017,12
8016,2000,-9
8016,2001,-5
8016,2002,-1
8016,2003,-10
8016,2004,-7
8016,2005,-15
8016,2006,-5
8016,2007,11
8016,2008,10
8016,2009,9
8016,2010,6
8016,2011,16
8016,2012,13
8016,2013,17
8016,2014,18
8016,2015,15
8016,2016,11
8016,2017,11
8017,2000,5
8017,2001,9
8017,2002,-2
8017,2003,-18
8017,2004,-22
8017,2005,-31
8017,2006,-42
8017,2007,-68
8017,2008,-52
8017,2009,-62
8017,2010,-72
8017,2011,-93
8017,2012,-126
8017,2013,-117
8017,2014,-138
8017,2015,-151
8017,2016,-169
8017,2017,-169
8018,2000,-4
8018,2001,0
8018,2002,-5
8018,2003,10
8018,2004,21
8018,2005,26
8018,2006,33
8018,2007,31
8018,2008,31
8018,2009,36
8018,2010,38
8018,2011,24
8018,2012,36
8018,2013,28
8018,2014,36
8018,2015,41
8018,2016,42
8018,2017,42
8019,2000,-1
8019,2001,0
8019,2002,3
8019,2003,2
8019,2004,6
8019,2005,6
8019,2006,12
8019,2007,7
8019,2008,12
8019,2009,9
8019,2010,15
8019,2011,14
8019,2012,14
8019,2013,11
8019,2014,17
8019,2015,23
8019,2016,27
8019,2017,27
8021,2000,3
8021,2001,-3
8021,2002,4
8021,2003,2
8021,2004,0
8021,2005,5
8021,2006,2
8021,2007,4
8021,2008,-4
8021,2009,-4
8021,2010,-6
8021,2011,-15
8021,2012,-24
8021,2013,-16
8021,2014,-21
8021,2015,-19
8021,2016,-14
8021,2017,-14
8022,2000,20
8022,2001,10
8022,2002,0
8022,2003,-23
8022,2004,-51
8022,2005,-88
8022,2006,-117
8022,2007,-137
8022,2008,-142
8022,2009,-160
8022,2010,-171
8022,2011,-189
8022,2012,-218
8022,2013,-239
8022,2014,-263
8022,2015,-287
8022,2016,-316
8022,2017,-316
8023,2000,3
8023,2001,5
8023,2002,3
8023,2003,8
8023,2004,11
8023,2005,16
8023,2006,22
8023,2007,27
8023,2008,29
8023,2009,23
8023,2010,35
8023,2011,34
8023,2012,25
8023,2013,39
8023,2014,44
8023,2015,48
8023,2016,52
8023,2017,52
8024,2000,6
8024,2001,19
8024,2002,13
8024,2003,5
8024,2004,-47
8024,2005,-86
8024,2006,-109
8024,2007,-151
8024,2008,-208
8024,2009,-239
8024,2010,-280
8024,2011,-309
8024,2012,-334
8024,2013,-350
8024,2014,-381
8024,2015,-402
8024,2016,-442
8024,2017,-442
8025,2000,4
8025,2001,-1
8025,2002,5
8025,2003,16
8025,2004,27
8025,2005,30
8025,2006,34
8025,2007,46
8025,2008,65
8025,2009,70
8025,2010,75
8025,2011,81
8025,2012,86
8025,2013,89
8025,2014,113
8025,2015,118
8025,2016,116
8025,2017,116
8026,2000,0
8026,2001,14
8026,2002,11
8026,2003,23
8026,2004,21
8026,2005,41
8026,2006,37
8026,2007,29
8026,2008,30
8026,2009,42
8026,2010,41
8026,2011,45
8026,2012,48
8026,2013,55
8026,2014,31
8026,2015,37
8026,2016,32
8026,2017,32
8037,2000,12
8037,2001,10
8037,2002,12
8037,2003,21
8037,2004,20
8037,2005,21
8037,2006,22
8037,2007,19
8037,2008,18
8037,2009,15
8037,2010,30
8037,2011,65
8037,2012,72
8037,2013,74
8037,2014,75
8037,2015,88
8037,2016,80
