geo,time,nettoflytt_utb_ackumulerat
8001,2000,8
8001,2001,2
8001,2002,4
8001,2003,12
8001,2004,21
8001,2005,24
8001,2006,25
8001,2007,69
8001,2008,111
8001,2009,96
8001,2010,135
8001,2011,135
8001,2012,149
8001,2013,150
8001,2014,140
8001,2015,144
8001,2016,148
8001,2017,148
8002,2000,8
8002,2001,13
8002,2002,4
8002,2003,2
8002,2004,4
8002,2005,2
8002,2006,5
8002,2007,4
8002,2008,-2
8002,2009,-8
8002,2010,-17
8002,2011,-5
8002,2012,-8
8002,2013,11
8002,2014,10
8002,2015,9
8002,2016,6
8002,2017,6
8003,2000,9
8003,2001,34
8003,2002,23
8003,2003,-3
8003,2004,7
8003,2005,18
8003,2006,16
8003,2007,-1
8003,2008,-1
8003,2009,-41
8003,2010,-45
8003,2011,-82
8003,2012,-89
8003,2013,-68
8003,2014,-56
8003,2015,-58
8003,2016,-66
8003,2017,-66
8004,2000,-10
8004,2001,-23
8004,2002,-16
8004,2003,-22
8004,2004,-29
8004,2005,-22
8004,2006,-19
8004,2007,-20
8004,2008,-28
8004,2009,-31
8004,2010,-47
8004,2011,-60
8004,2012,-67
8004,2013,-63
8004,2014,-65
8004,2015,-64
8004,2016,-51
8004,2017,-51
8005,2000,9
8005,2001,12
8005,2002,8
8005,2003,-1
8005,2004,-3
8005,2005,-3
8005,2006,3
8005,2007,-9
8005,2008,-16
8005,2009,-32
8005,2010,-21
8005,2011,-24
8005,2012,-17
8005,2013,-12
8005,2014,-19
8005,2015,-21
8005,2016,-23
8005,2017,-23
8006,2000,2
8006,2001,3
8006,2002,-1
8006,2003,2
8006,2004,7
8006,2005,-15
8006,2006,-13
8006,2007,-15
8006,2008,-28
8006,2009,-30
8006,2010,-44
8006,2011,-42
8006,2012,-31
8006,2013,-44
8006,2014,-34
8006,2015,-38
8006,2016,-38
8006,2017,-38
8007,2000,1
8007,2001,-3
8007,2002,-14
8007,2003,1
8007,2004,-9
8007,2005,5
8007,2006,-2
8007,2007,-17
8007,2008,-45
8007,2009,-42
8007,2010,-40
8007,2011,-28
8007,2012,-51
8007,2013,-52
8007,2014,-52
8007,2015,-38
8007,2016,-45
8007,2017,-45
8008,2000,14
8008,2001,9
8008,2002,-11
8008,2003,-7
8008,2004,-38
8008,2005,-22
8008,2006,-33
8008,2007,-28
8008,2008,-42
8008,2009,-44
8008,2010,-55
8008,2011,-71
8008,2012,-80
8008,2013,-87
8008,2014,-91
8008,2015,-108
8008,2016,-104
8008,2017,-104
8009,2000,-1
8009,2001,4
8009,2002,1
8009,2003,6
8009,2004,0
8009,2005,-4
8009,2006,28
8009,2007,13
8009,2008,8
8009,2009,6
8009,2010,6
8009,2011,-10
8009,2012,-8
8009,2013,-10
8009,2014,-10
8009,2015,-23
8009,2016,-38
8009,2017,-38
8011,2000,-2
8011,2001,10
8011,2002,5
8011,2003,8
8011,2004,13
8011,2005,12
8011,2006,12
8011,2007,25
8011,2008,31
8011,2009,25
8011,2010,26
8011,2011,24
8011,2012,33
8011,2013,30
8011,2014,34
8011,2015,38
8011,2016,41
8011,2017,41
8012,2000,8
8012,2001,19
8012,2002,34
8012,2003,25
8012,2004,27
8012,2005,8
8012,2006,20
8012,2007,10
8012,2008,-3
8012,2009,-34
8012,2010,-19
8012,2011,-26
8012,2012,-32
8012,2013,-33
8012,2014,-40
8012,2015,-45
8012,2016,-56
8012,2017,-56
8013,2000,-7
8013,2001,-16
8013,2002,-30
8013,2003,-30
8013,2004,-52
8013,2005,-71
8013,2006,-78
8013,2007,-73
8013,2008,-105
8013,2009,-110
8013,2010,-108
8013,2011,-97
8013,2012,-105
8013,2013,-146
8013,2014,-163
8013,2015,-197
8013,2016,-234
8013,2017,-234
8014,2000,-10
8014,2001,-22
8014,2002,-67
8014,2003,-84
8014,2004,-149
8014,2005,-169
8014,2006,-200
8014,2007,-223
8014,2008,-243
8014,2009,-256
8014,2010,-250
8014,2011,-294
8014,2012,-319
8014,2013,-328
8014,2014,-378
8014,2015,-391
8014,2016,-443
8014,2017,-443
8015,2000,5
8015,2001,8
8015,2002,13
8015,2003,9
8015,2004,19
8015,2005,22
8015,2006,23
8015,2007,24
8015,2008,26
8015,2009,30
8015,2010,30
8015,2011,27
8015,2012,34
8015,2013,31
8015,2014,35
8015,2015,36
8015,2016,37
8015,2017,37
8016,2000,0
8016,2001,0
8016,2002,6
8016,2003,-1
8016,2004,-9
8016,2005,-12
8016,2006,1
8016,2007,9
8016,2008,11
8016,2009,5
8016,2010,4
8016,2011,16
8016,2012,17
8016,2013,22
8016,2014,26
8016,2015,24
8016,2016,19
8016,2017,19
8017,2000,-5
8017,2001,-8
8017,2002,-27
8017,2003,-35
8017,2004,-44
8017,2005,-62
8017,2006,-77
8017,2007,-77
8017,2008,-45
8017,2009,-25
8017,2010,-10
8017,2011,-46
8017,2012,-92
8017,2013,-100
8017,2014,-112
8017,2015,-126
8017,2016,-131
8017,2017,-131
8018,2000,4
8018,2001,9
8018,2002,8
8018,2003,12
8018,2004,26
8018,2005,31
8018,2006,29
8018,2007,44
8018,2008,48
8018,2009,50
8018,2010,63
8018,2011,61
8018,2012,60
8018,2013,62
8018,2014,66
8018,2015,70
8018,2016,79
8018,2017,79
8019,2000,4
8019,2001,3
8019,2002,5
8019,2003,6
8019,2004,10
8019,2005,18
8019,2006,20
8019,2007,17
8019,2008,22
8019,2009,26
8019,2010,39
8019,2011,36
8019,2012,41
8019,2013,44
8019,2014,58
8019,2015,65
8019,2016,65
8019,2017,65
8021,2000,4
8021,2001,4
8021,2002,0
8021,2003,3
8021,2004,4
8021,2005,0
8021,2006,0
8021,2007,-2
8021,2008,2
8021,2009,1
8021,2010,2
8021,2011,0
8021,2012,4
8021,2013,4
8021,2014,3
8021,2015,2
8021,2016,3
8021,2017,3
8022,2000,3
8022,2001,5
8022,2002,23
8022,2003,8
8022,2004,12
8022,2005,-4
8022,2006,-3
8022,2007,-8
8022,2008,-12
8022,2009,-25
8022,2010,-24
8022,2011,-39
8022,2012,-51
8022,2013,-49
8022,2014,-50
8022,2015,-52
8022,2016,-66
8022,2017,-66
8023,2000,-2
8023,2001,3
8023,2002,-1
8023,2003,1
8023,2004,5
8023,2005,16
8023,2006,12
8023,2007,15
8023,2008,12
8023,2009,9
8023,2010,26
8023,2011,29
8023,2012,30
8023,2013,41
8023,2014,47
8023,2015,62
8023,2016,64
8023,2017,64
8024,2000,11
8024,2001,14
8024,2002,5
8024,2003,34
8024,2004,47
8024,2005,44
8024,2006,60
8024,2007,86
8024,2008,93
8024,2009,62
8024,2010,80
8024,2011,79
8024,2012,51
8024,2013,41
8024,2014,33
8024,2015,32
8024,2016,18
