geo,time,utbildningsniva_andel_man
8001,2000,23.1
8001,2001,23.1
8001,2002,23.1
8001,2003,23.1
8001,2004,23.1
8001,2005,25
8001,2006,24.9
8001,2007,26.6
8001,2008,31.1
8001,2009,28.7
8001,2010,31.4
8001,2011,31.4
8001,2012,30.3
8001,2013,30.1
8001,2014,28
8001,2015,28.1
8001,2016,27.5
8001,2017,30.2
8002,2000,27.6
8002,2001,27.6
8002,2002,27.6
8002,2003,27.6
8002,2004,27.6
8002,2005,28.4
8002,2006,31.3
8002,2007,28.6
8002,2008,29.8
8002,2009,29.5
8002,2010,27
8002,2011,27.1
8002,2012,25.5
8002,2013,28.9
8002,2014,30.1
8002,2015,31.5
8002,2016,31.4
8002,2017,29
8003,2000,20.9
8003,2001,20.9
8003,2002,20.9
8003,2003,20.9
8003,2004,20.9
8003,2005,21.1
8003,2006,21.1
8003,2007,20.9
8003,2008,22.5
8003,2009,21.8
8003,2010,21.9
8003,2011,19.2
8003,2012,18.7
8003,2013,20.1
8003,2014,21.3
8003,2015,23.2
8003,2016,23.2
8003,2017,20.7
8004,2000,14.6
8004,2001,14.6
8004,2002,14.6
8004,2003,14.6
8004,2004,14.6
8004,2005,17.2
8004,2006,17.5
8004,2007,17.7
8004,2008,17.2
8004,2009,17.5
8004,2010,17.3
8004,2011,11.6
8004,2012,12.5
8004,2013,13.7
8004,2014,15.5
8004,2015,15.2
8004,2016,17.1
8004,2017,18.9
8005,2000,19
8005,2001,19
8005,2002,19
8005,2003,19
8005,2004,19
8005,2005,15.8
8005,2006,20.1
8005,2007,21.9
8005,2008,21.9
8005,2009,20
8005,2010,19.9
8005,2011,22
8005,2012,22.6
8005,2013,21.9
8005,2014,23.5
8005,2015,21.8
8005,2016,21.2
8005,2017,21.8
8006,2000,27.8
8006,2001,27.8
8006,2002,27.8
8006,2003,27.8
8006,2004,27.8
8006,2005,25.3
8006,2006,25.2
8006,2007,25.4
8006,2008,25.2
8006,2009,25.7
8006,2010,22.7
8006,2011,24.7
8006,2012,23.7
8006,2013,19.9
8006,2014,22.4
8006,2015,23.1
8006,2016,22.6
8006,2017,24.1
8007,2000,23.7
8007,2001,23.7
8007,2002,23.7
8007,2003,23.7
8007,2004,23.7
8007,2005,25
8007,2006,24.3
8007,2007,21
8007,2008,21.3
8007,2009,22.7
8007,2010,23
8007,2011,23.8
8007,2012,20.5
8007,2013,20.2
8007,2014,19.8
8007,2015,21.1
8007,2016,21.1
8007,2017,21.3
8008,2000,23.4
8008,2001,23.4
8008,2002,23.4
8008,2003,23.4
8008,2004,23.4
8008,2005,27.1
8008,2006,27.4
8008,2007,27.9
8008,2008,27
8008,2009,25.4
8008,2010,24.1
8008,2011,20.6
8008,2012,20.7
8008,2013,22.3
8008,2014,23.6
8008,2015,21.8
8008,2016,23.4
8008,2017,23.8
8009,2000,26.9
8009,2001,26.9
8009,2002,26.9
8009,2003,26.9
8009,2004,26.9
8009,2005,26.3
8009,2006,29.3
8009,2007,27
8009,2008,29.6
8009,2009,28.1
8009,2010,28.2
8009,2011,26.7
8009,2012,25.8
8009,2013,25.5
8009,2014,25.4
8009,2015,24.9
