geo,time,utbildningsniva_andel_totalt
8001,2000,28.2
8001,2001,28.2
8001,2002,28.2
8001,2003,28.2
8001,2004,28.2
8001,2005,27.7
8001,2006,29.2
8001,2007,30.3
8001,2008,33.7
8001,2009,30.9
8001,2010,33.2
8001,2011,33.2
8001,2012,32.9
8001,2013,34.1
8001,2014,33.2
8001,2015,34.5
8001,2016,33.6
8001,2017,35.6
8002,2000,25.1
8002,2001,25.1
8002,2002,25.1
8002,2003,25.1
8002,2004,25.1
8002,2005,24.9
8002,2006,26.3
8002,2007,26.1
8002,2008,27.2
8002,2009,27.6
8002,2010,26.1
8002,2011,27.3
8002,2012,27.8
8002,2013,32
8002,2014,34.5
8002,2015,34.1
8002,2016,33.4
8002,2017,31.6
8003,2000,21.2
8003,2001,21.2
8003,2002,21.2
8003,2003,21.2
8003,2004,21.2
8003,2005,22.8
8003,2006,23.8
8003,2007,24.2
8003,2008,25
8003,2009,23.1
8003,2010,23.4
8003,2011,21.5
8003,2012,21.1
8003,2013,23.1
8003,2014,25
8003,2015,26.3
8003,2016,26.5
8003,2017,26
8004,2000,17.7
8004,2001,17.7
8004,2002,17.7
8004,2003,17.7
8004,2004,17.7
8004,2005,20.7
8004,2006,20.8
8004,2007,21.9
8004,2008,20.7
8004,2009,21.3
8004,2010,19.8
8004,2011,17.2
8004,2012,16.3
8004,2013,17.2
8004,2014,18.4
8004,2015,19.7
8004,2016,21.4
8004,2017,22
8005,2000,21.8
8005,2001,21.8
8005,2002,21.8
8005,2003,21.8
8005,2004,21.8
8005,2005,21.9
8005,2006,24.2
8005,2007,24.9
8005,2008,25
8005,2009,23.5
8005,2010,24.9
8005,2011,24.9
8005,2012,26.1
8005,2013,27.6
8005,2014,27.2
8005,2015,26.5
8005,2016,25.8
8005,2017,26
8006,2000,27.2
8006,2001,27.2
8006,2002,27.2
8006,2003,27.2
8006,2004,27.2
8006,2005,25.6
8006,2006,26.7
8006,2007,26.3
8006,2008,23.5
8006,2009,24.2
8006,2010,24.3
8006,2011,24.2
8006,2012,26.7
8006,2013,24.6
8006,2014,27.3
8006,2015,28.1
8006,2016,29.3
8006,2017,29.3
8007,2000,23.2
8007,2001,23.2
8007,2002,23.2
8007,2003,23.2
8007,2004,23.2
8007,2005,26
8007,2006,26.1
8007,2007,25
8007,2008,22.3
8007,2009,23.8
8007,2010,24.4
8007,2011,26.4
8007,2012,23.3
8007,2013,23.9
8007,2014,24.7
8007,2015,26
8007,2016,25.4
8007,2017,27.7
8008,2000,25.6
8008,2001,25.6
8008,2002,25.6
8008,2003,25.6
8008,2004,25.6
8008,2005,28
8008,2006,28.4
8008,2007,30.6
8008,2008,29.3
8008,2009,28.4
8008,2010,27.9
8008,2011,26.1
8008,2012,25.5
8008,2013,26.6
8008,2014,27
8008,2015,26.7
8008,2016,27
8008,2017,26.8
8009,2000,27.2
8009,2001,27.2
8009,2002,27.2
8009,2003,27.2
8009,2004,27.2
8009,2005,28.3
8009,2006,30.4
8009,2007,29.7
8009,2008,31.2
8009,2009,30.1
8009,2010,30
8009,2011,29.2
8009,2012,29.8
8009,2013,28.8
8009,2014,29.1
8009,2015,28
8009,2016,28.9
8009,2017,29.6
8011,2000,26
8011,2001,26
8011,2002,26
8011,2003,26
8011,2004,26
8011,2005,27.5
8011,2006,27.9
8011,2007,30.4
8011,2008,31.4
8011,2009,29.7
8011,2010,29.1
8011,2011,29.6
