geo,time,utrikes_fodda_man
8001,2000,20
8001,2001,20
8001,2002,20
8001,2003,22
8001,2004,15
8001,2005,20
8001,2006,20
8001,2007,32
8001,2008,35
8001,2009,40
8001,2010,46
8001,2011,51
8001,2012,48
8001,2013,49
8001,2014,45
8001,2015,64
8001,2016,96
8001,2017,89
8002,2000,9
8002,2001,9
8002,2002,9
8002,2003,7
8002,2004,7
8002,2005,12
8002,2006,11
8002,2007,18
8002,2008,12
8002,2009,20
8002,2010,14
8002,2011,20
8002,2012,20
8002,2013,22
8002,2014,26
8002,2015,28
8002,2016,35
8002,2017,40
8003,2000,57
8003,2001,57
8003,2002,57
8003,2003,55
8003,2004,53
8003,2005,59
8003,2006,67
8003,2007,73
8003,2008,89
8003,2009,88
8003,2010,100
8003,2011,83
8003,2012,80
8003,2013,86
8003,2014,94
8003,2015,114
8003,2016,135
8003,2017,146
8004,2000,32
8004,2001,32
8004,2002,32
8004,2003,34
8004,2004,32
8004,2005,30
8004,2006,36
8004,2007,40
8004,2008,40
8004,2009,30
8004,2010,37
8004,2011,30
8004,2012,34
8004,2013,37
8004,2014,48
8004,2015,58
8004,2016,64
8004,2017,72
8005,2000,34
8005,2001,34
8005,2002,34
8005,2003,31
8005,2004,37
8005,2005,34
8005,2006,25
8005,2007,29
8005,2008,26
8005,2009,37
8005,2010,45
8005,2011,45
8005,2012,49
8005,2013,52
8005,2014,64
8005,2015,87
8005,2016,117
8005,2017,105
8006,2000,23
8006,2001,23
8006,2002,23
8006,2003,27
8006,2004,22
8006,2005,29
8006,2006,31
8006,2007,33
8006,2008,33
8006,2009,37
8006,2010,35
8006,2011,32
8006,2012,31
8006,2013,26
8006,2014,33
8006,2015,38
8006,2016,46
8006,2017,61
8007,2000,39
8007,2001,39
8007,2002,39
8007,2003,36
8007,2004,45
8007,2005,46
8007,2006,48
8007,2007,51
8007,2008,74
8007,2009,90
8007,2010,100
8007,2011,101
8007,2012,87
8007,2013,103
8007,2014,123
8007,2015,118
8007,2016,145
8007,2017,205
8008,2000,45
8008,2001,45
8008,2002,45
8008,2003,44
8008,2004,44
8008,2005,46
8008,2006,54
8008,2007,51
8008,2008,62
8008,2009,62
8008,2010,56
8008,2011,58
8008,2012,48
8008,2013,55
8008,2014,57
8008,2015,59
8008,2016,85
8008,2017,97
8009,2000,50
8009,2001,50
8009,2002,50
8009,2003,53
8009,2004,60
8009,2005,58
8009,2006,72
8009,2007,67
8009,2008,66
8009,2009,68
8009,2010,71
8009,2011,63
8009,2012,72
8009,2013,75
8009,2014,93
8009,2015,141
8009,2016,119
8009,2017,108
8011,2000,17
8011,2001,17
