geo,time,utrikes_fodda_summa
8001,2000,34
8001,2001,34
8001,2002,34
8001,2003,37
8001,2004,35
8001,2005,43
8001,2006,42
8001,2007,61
8001,2008,70
8001,2009,72
8001,2010,86
8001,2011,94
8001,2012,94
8001,2013,98
8001,2014,86
8001,2015,117
8001,2016,168
8001,2017,150
8002,2000,24
8002,2001,24
8002,2002,24
8002,2003,20
8002,2004,17
8002,2005,26
8002,2006,26
8002,2007,32
8002,2008,26
8002,2009,35
8002,2010,25
8002,2011,35
8002,2012,37
8002,2013,35
8002,2014,38
8002,2015,41
8002,2016,55
8002,2017,70
8003,2000,126
8003,2001,126
8003,2002,126
8003,2003,122
8003,2004,116
8003,2005,120
8003,2006,136
8003,2007,138
8003,2008,165
8003,2009,162
8003,2010,167
8003,2011,147
8003,2012,156
8003,2013,172
8003,2014,185
8003,2015,217
8003,2016,248
8003,2017,272
8004,2000,65
8004,2001,65
8004,2002,65
8004,2003,69
8004,2004,69
8004,2005,64
8004,2006,76
8004,2007,82
8004,2008,85
8004,2009,79
8004,2010,84
8004,2011,88
8004,2012,81
8004,2013,89
8004,2014,108
8004,2015,126
8004,2016,137
8004,2017,144
8005,2000,57
8005,2001,57
8005,2002,57
8005,2003,53
8005,2004,58
8005,2005,61
8005,2006,47
8005,2007,58
8005,2008,62
8005,2009,72
8005,2010,88
8005,2011,84
8005,2012,90
8005,2013,93
8005,2014,103
8005,2015,139
8005,2016,182
8005,2017,180
8006,2000,44
8006,2001,44
8006,2002,44
8006,2003,56
8006,2004,42
8006,2005,51
8006,2006,58
8006,2007,60
8006,2008,58
8006,2009,67
8006,2010,67
8006,2011,65
8006,2012,71
8006,2013,67
8006,2014,74
8006,2015,77
8006,2016,84
8006,2017,97
8007,2000,77
8007,2001,77
8007,2002,77
8007,2003,73
8007,2004,85
8007,2005,85
8007,2006,91
8007,2007,105
8007,2008,143
8007,2009,173
8007,2010,184
8007,2011,192
8007,2012,164
8007,2013,195
8007,2014,220
8007,2015,212
8007,2016,250
8007,2017,327
8008,2000,91
8008,2001,91
8008,2002,91
8008,2003,86
8008,2004,83
8008,2005,99
8008,2006,98
8008,2007,105
8008,2008,120
8008,2009,123
8008,2010,111
8008,2011,113
8008,2012,95
8008,2013,107
8008,2014,109
8008,2015,110
8008,2016,144
8008,2017,159
8009,2000,106
8009,2001,106
8009,2002,106
8009,2003,103
8009,2004,123
8009,2005,131
8009,2006,148
8009,2007,146
8009,2008,148
8009,2009,160
8009,2010,164
8009,2011,155
8009,2012,161
8009,2013,162
8009,2014,194
8009,2015,256
8009,2016,239
8009,2017,233
8011,2000,38
8011,2001,38
8011,2002,38
8011,2003,37
8011,2004,38
8011,2005,39
8011,2006,40
8011,2007,42
8011,2008,42
8011,2009,51
8011,2010,61
8011,2011,60
8011,2012,70
8011,2013,75
8011,2014,74
8011,2015,74
8011,2016,79
8011,2017,83
8012,2000,162
8012,2001,162
8012,2002,162
8012,2003,122
8012,2004,143
