geo,time,befolkning_alder_25_44_ar
8001,2000,235
8001,2001,223
8001,2002,202
8001,2003,197
8001,2004,216
8001,2005,229
8001,2006,224
8001,2007,239
8001,2008,259
8001,2009,248
8001,2010,284
8001,2011,278
8001,2012,289
8001,2013,272
8001,2014,256
8001,2015,261
8001,2016,259
8001,2017,246
8002,2000,200
8002,2001,194
8002,2002,196
8002,2003,206
8002,2004,185
8002,2005,189
8002,2006,184
8002,2007,205
8002,2008,185
8002,2009,189
8002,2010,171
8002,2011,180
8002,2012,172
8002,2013,189
8002,2014,184
8002,2015,186
8002,2016,187
8002,2017,180
8003,2000,680
8003,2001,687
8003,2002,704
8003,2003,675
8003,2004,659
8003,2005,647
8003,2006,638
8003,2007,646
8003,2008,674
8003,2009,670
8003,2010,663
8003,2011,651
8003,2012,649
8003,2013,674
8003,2014,706
8003,2015,730
8003,2016,770
8003,2017,834
8004,2000,278
8004,2001,271
8004,2002,275
8004,2003,261
8004,2004,254
8004,2005,251
8004,2006,291
8004,2007,292
8004,2008,299
8004,2009,300
8004,2010,278
8004,2011,279
8004,2012,268
8004,2013,264
8004,2014,281
8004,2015,294
8004,2016,317
8004,2017,322
8005,2000,295
8005,2001,297
8005,2002,295
8005,2003,317
8005,2004,295
8005,2005,307
8005,2006,276
8005,2007,281
8005,2008,246
8005,2009,244
8005,2010,254
8005,2011,260
8005,2012,278
8005,2013,294
8005,2014,294
8005,2015,314
8005,2016,324
8005,2017,324
8006,2000,234
8006,2001,245
8006,2002,260
8006,2003,257
8006,2004,251
8006,2005,242
8006,2006,236
8006,2007,243
8006,2008,233
8006,2009,234
8006,2010,220
8006,2011,226
8006,2012,232
8006,2013,239
8006,2014,219
8006,2015,211
8006,2016,245
8006,2017,250
8007,2000,391
8007,2001,390
8007,2002,421
8007,2003,430
8007,2004,454
8007,2005,493
8007,2006,470
8007,2007,446
8007,2008,426
8007,2009,452
8007,2010,441
8007,2011,464
8007,2012,416
8007,2013,429
8007,2014,450
8007,2015,465
8007,2016,485
8007,2017,530
8008,2000,466
8008,2001,451
8008,2002,422
8008,2003,414
8008,2004,412
8008,2005,438
8008,2006,430
8008,2007,418
8008,2008,421
8008,2009,432
8008,2010,437
8008,2011,424
8008,2012,421
8008,2013,381
8008,2014,397
8008,2015,405
8008,2016,456
8008,2017,470
8009,2000,511
8009,2001,521
8009,2002,509
8009,2003,538
8009,2004,538
8009,2005,531
8009,2006,549
8009,2007,508
8009,2008,490
8009,2009,512
8009,2010,527
8009,2011,503
8009,2012,484
8009,2013,508
8009,2014,539
8009,2015,529
8009,2016,512
8009,2017,525
8011,2000,227
8011,2001,229
8011,2002,198
8011,2003,203
8011,2004,192
8011,2005,185
8011,2006,189
8011,2007,214
8011,2008,215
8011,2009,221
8011,2010,219
8011,2011,213
8011,2012,211
8011,2013,203
8011,2014,194
8011,2015,209
8011,2016,211
8011,2017,229
8012,2000,440
8012,2001,436
8012,2002,446
8012,2003,412
8012,2004,449
8012,2005,430
8012,2006,424
8012,2007,435
8012,2008,433
8012,2009,414
8012,2010,403
8012,2011,388
8012,2012,383
8012,2013,401
8012,2014,407
8012,2015,426
8012,2016,439
8012,2017,469
8013,2000,61
8013,2001,66
8013,2002,76
8013,2003,88
8013,2004,81
8013,2005,98
8013,2006,128
8013,2007,122
8013,2008,115
8013,2009,133
8013,2010,152
8013,2011,203
8013,2012,159
8013,2013,125
8013,2014,138
8013,2015,142
8013,2016,148
8013,2017,148
8014,2000,476
8014,2001,523
8014,2002,533
8014,2003,553
8014,2004,528
8014,2005,531
8014,2006,541
8014,2007,533
8014,2008,569
8014,2009,632
8014,2010,670
8014,2011,696
8014,2012,691
8014,2013,682
8014,2014,641
8014,2015,640
8014,2016,667
8014,2017,668
8015,2000,95
8015,2001,87
8015,2002,97
8015,2003,98
8015,2004,94
8015,2005,94
8015,2006,90
8015,2007,89
8015,2008,88
8015,2009,98
8015,2010,93
8015,2011,90
8015,2012,83
8015,2013,85
8015,2014,89
8015,2015,85
8015,2016,70
8015,2017,63
8016,2000,141
8016,2001,134
8016,2002,139
8016,2003,121
8016,2004,128
8016,2005,119
8016,2006,126
8016,2007,135
8016,2008,127
8016,2009,119
8016,2010,113
8016,2011,119
8016,2012,110
8016,2013,106
8016,2014,104
8016,2015,101
8016,2016,89
8016,2017,84
8017,2000,138
8017,2001,137
8017,2002,120
8017,2003,121
8017,2004,112
8017,2005,106
8017,2006,118
8017,2007,160
8017,2008,223
8017,2009,290
8017,2010,342
8017,2011,317
8017,2012,219
8017,2013,210
8017,2014,216
8017,2015,221
8017,2016,215
8017,2017,220
8018,2000,197
8018,2001,190
8018,2002,175
8018,2003,192
8018,2004,191
8018,2005,199
8018,2006,196
8018,2007,200
8018,2008,201
8018,2009,192
8018,2010,184
8018,2011,174
8018,2012,179
8018,2013,174
8018,2014,177
8018,2015,176
8018,2016,171
8018,2017,172
8019,2000,132
8019,2001,126
8019,2002,117
8019,2003,105
8019,2004,109
8019,2005,110
8019,2006,117
8019,2007,112
8019,2008,116
8019,2009,110
8019,2010,115
8019,2011,108
8019,2012,112
8019,2013,116
8019,2014,123
8019,2015,114
8019,2016,116
8019,2017,122
8021,2000,62
8021,2001,61
8021,2002,70
8021,2003,81
8021,2004,75
8021,2005,84
8021,2006,77
8021,2007,79
8021,2008,76
8021,2009,75
8021,2010,72
8021,2011,63
8021,2012,63
8021,2013,70
8021,2014,65
8021,2015,66
8021,2016,80
8021,2017,87
8022,2000,343
8022,2001,349
8022,2002,378
8022,2003,353
8022,2004,359
8022,2005,337
8022,2006,332
8022,2007,358
8022,2008,349
8022,2009,363
8022,2010,372
8022,2011,359
8022,2012,332
8022,2013,338
8022,2014,349
8022,2015,400
8022,2016,406
8022,2017,436
8023,2000,50
8023,2001,46
8023,2002,45
8023,2003,58
8023,2004,56
8023,2005,67
8023,2006,59
8023,2007,62
8023,2008,61
8023,2009,60
8023,2010,76
8023,2011,85
8023,2012,81
8023,2013,88
8023,2014,90
8023,2015,99
8023,2016,113
8023,2017,128
8024,2000,412
8024,2001,440
8024,2002,461
8024,2003,493
8024,2004,521
8024,2005,614
8024,2006,747
8024,2007,831
8024,2008,868
8024,2009,881
8024,2010,907
8024,2011,929
8024,2012,677
8024,2013,682
8024,2014,701
8024,2015,741
8024,2016,787
8024,2017,788
8025,2000,109
8025,2001,112
8025,2002,116
8025,2003,124
8025,2004,119
8025,2005,117
8025,2006,109
8025,2007,116
8025,2008,134
8025,2009,126
8025,2010,133
8025,2011,126
8025,2012,121
8025,2013,116
8025,2014,123
8025,2015,128
8025,2016,150
8025,2017,152
8026,2000,187
8026,2001,203
8026,2002,186
8026,2003,192
8026,2004,178
8026,2005,191
8026,2006,193
8026,2007,186
8026,2008,180
8026,2009,204
8026,2010,194
8026,2011,189
8026,2012,178
8026,2013,191
8026,2014,172
8026,2015,178
8026,2016,172
8026,2017,171
8037,2000,78
8037,2001,74
8037,2002,68
8037,2003,72
8037,2004,63
8037,2005,64
8037,2006,63
8037,2007,61
8037,2008,55
8037,2009,55
8037,2010,67
8037,2011,87
8037,2012,97
8037,2013,95
8037,2014,92
8037,2015,98
8037,2016,88
8037,2017,80
8038,2000,114
8038,2001,111
8038,2002,113
8038,2003,113
8038,2004,105
8038,2005,102
8038,2006,104
8038,2007,105
8038,2008,105
8038,2009,104
8038,2010,99
8038,2011,97
8038,2012,85
8038,2013,80
8038,2014,76
8038,2015,69
8038,2016,67
8038,2017,61
8039,2000,158
8039,2001,156
8039,2002,174
8039,2003,192
8039,2004,190
8039,2005,194
8039,2006,196
8039,2007,222
8039,2008,246
8039,2009,242
8039,2010,244
8039,2011,241
8039,2012,224
8039,2013,222
8039,2014,225
8039,2015,244
8039,2016,240
8039,2017,248
8041,2000,33
8041,2001,38
8041,2002,36
8041,2003,39
8041,2004,43
8041,2005,45
8041,2006,57
8041,2007,54
8041,2008,55
8041,2009,46
8041,2010,44
8041,2011,39
8041,2012,40
8041,2013,33
8041,2014,42
