geo,time,boende_efter_bostadstyp_smahus
8001,2000,264
8001,2001,264
8001,2002,269
8001,2003,269
8001,2004,304
8001,2005,304
8001,2006,296
8001,2007,304
8001,2008,315
8001,2009,326
8001,2010,312
8001,2011,312
8001,2012,320
8001,2013,322
8001,2014,320
8001,2015,327
8001,2016,312
8001,2017,312
8002,2000,294
8002,2001,294
8002,2002,291
8002,2003,291
8002,2004,283
8002,2005,283
8002,2006,284
8002,2007,280
8002,2008,287
8002,2009,289
8002,2010,282
8002,2011,290
8002,2012,294
8002,2013,300
8002,2014,308
8002,2015,309
8002,2016,310
8002,2017,299
8003,2000,37
8003,2001,37
8003,2002,56
8003,2003,56
8003,2004,60
8003,2005,60
8003,2006,59
8003,2007,52
8003,2008,48
8003,2009,51
8003,2010,57
8003,2011,56
8003,2012,55
8003,2013,60
8003,2014,52
8003,2015,64
8003,2016,56
8003,2017,57
8004,2000,10
8004,2001,10
8004,2002,13
8004,2003,13
8004,2004,9
8004,2005,9
8004,2006,84
8004,2007,83
8004,2008,88
8004,2009,97
8004,2010,94
8004,2011,89
8004,2012,87
8004,2013,89
8004,2014,83
8004,2015,86
8004,2016,83
8004,2017,80
8005,2000,16
8005,2001,16
8005,2002,13
8005,2003,13
8005,2004,13
8005,2005,13
8005,2006,15
8005,2007,16
8005,2008,14
8005,2009,10
8005,2010,11
8005,2011,9
8005,2012,10
8005,2013,9
8005,2014,11
8005,2015,8
8005,2016,16
8005,2017,10
8006,2000,13
8006,2001,13
8006,2002,12
8006,2003,12
8006,2004,22
8006,2005,22
8006,2006,26
8006,2007,28
8006,2008,29
8006,2009,28
8006,2010,26
8006,2011,26
8006,2012,24
8006,2013,25
8006,2014,22
8006,2015,22
8006,2016,23
8006,2017,18
8007,2000,3
8007,2001,3
8007,2002,3
8007,2003,3
8007,2004,3
8007,2005,3
8007,2006,3
8007,2007,3
8007,2008,3
8007,2009,3
8007,2010,3
8007,2011,4
8007,2012,5
8007,2013,5
8007,2014,4
8007,2015,5
8007,2016,10
8007,2017,15
8008,2000,20
8008,2001,20
8008,2002,26
8008,2003,26
8008,2004,23
8008,2005,23
8008,2006,23
8008,2007,23
8008,2008,27
8008,2009,32
8008,2010,28
8008,2011,26
8008,2012,25
8008,2013,24
8008,2014,25
8008,2015,25
8008,2016,22
8008,2017,23
8009,2000,100
8009,2001,100
8009,2002,93
8009,2003,93
8009,2004,91
8009,2005,91
8009,2006,86
8009,2007,89
8009,2008,86
8009,2009,90
8009,2010,97
8009,2011,91
8009,2012,93
8009,2013,88
8009,2014,84
8009,2015,80
8009,2016,90
8009,2017,91
8011,2000,538
8011,2001,538
8011,2002,552
8011,2003,552
8011,2004,547
8011,2005,547
8011,2006,535
8011,2007,546
8011,2008,550
8011,2009,546
8011,2010,539
8011,2011,526
8011,2012,517
8011,2013,517
8011,2014,528
8011,2015,534
8011,2016,540
8011,2017,540
8012,2000,0
8012,2001,0
8012,2002,3
8012,2003,3
8012,2004,3
8012,2005,3
8012,2006,3
8012,2007,3
8012,2008,3
8012,2009,3
8012,2010,3
8012,2011,3
8012,2012,3
8012,2013,3
8012,2014,3
8012,2015,3
8012,2016,3
8012,2017,3
8013,2000,59
8013,2001,59
8013,2002,57
8013,2003,57
8013,2004,61
8013,2005,61
8013,2006,68
8013,2007,66
8013,2008,67
8013,2009,74
8013,2010,78
8013,2011,77
8013,2012,73
8013,2013,77
8013,2014,74
8013,2015,72
8013,2016,71
8013,2017,78
8014,2000,5
8014,2001,5
8014,2002,6
8014,2003,6
8014,2004,6
8014,2005,6
8014,2006,8
8014,2007,6
8014,2008,6
8014,2009,6
8014,2010,6
8014,2011,7
8014,2012,7
8014,2013,7
8014,2014,7
8014,2015,7
8014,2016,7
8014,2017,4
8015,2000,370
8015,2001,370
8015,2002,366
8015,2003,366
8015,2004,357
8015,2005,357
8015,2006,368
8015,2007,362
8015,2008,368
8015,2009,390
8015,2010,373
8015,2011,386
8015,2012,371
8015,2013,361
8015,2014,370
8015,2015,364
8015,2016,356
8015,2017,347
8016,2000,514
8016,2001,514
8016,2002,519
8016,2003,519
8016,2004,518
8016,2005,518
8016,2006,519
8016,2007,549
8016,2008,549
8016,2009,526
8016,2010,536
8016,2011,549
8016,2012,548
8016,2013,552
8016,2014,561
8016,2015,551
8016,2016,546
8016,2017,547
8017,2000,0
8017,2001,0
8017,2002,0
8017,2003,0
8017,2004,0
8017,2005,0
8017,2006,0
8017,2007,0
8017,2008,0
8017,2009,0
8017,2010,0
8017,2011,0
8017,2012,0
8017,2013,0
8017,2014,0
8017,2015,0
8017,2016,0
8017,2017,0
8018,2000,713
8018,2001,713
8018,2002,711
8018,2003,711
8018,2004,755
8018,2005,755
8018,2006,758
8018,2007,737
