geo,time,inrikes_fodda_kvinnor
8001,2000,402
8001,2001,402
8001,2002,402
8001,2003,405
8001,2004,415
8001,2005,428
8001,2006,418
8001,2007,473
8001,2008,510
8001,2009,528
8001,2010,555
8001,2011,569
8001,2012,589
8001,2013,573
8001,2014,560
8001,2015,538
8001,2016,523
8001,2017,518
8002,2000,315
8002,2001,315
8002,2002,315
8002,2003,323
8002,2004,326
8002,2005,316
8002,2006,300
8002,2007,295
8002,2008,295
8002,2009,291
8002,2010,285
8002,2011,287
8002,2012,295
8002,2013,319
8002,2014,314
8002,2015,315
8002,2016,308
8002,2017,291
8003,2000,1127
8003,2001,1127
8003,2002,1127
8003,2003,1101
8003,2004,1121
8003,2005,1135
8003,2006,1142
8003,2007,1151
8003,2008,1124
8003,2009,1108
8003,2010,1125
8003,2011,1117
8003,2012,1108
8003,2013,1126
8003,2014,1106
8003,2015,1086
8003,2016,1116
8003,2017,1135
8004,2000,461
8004,2001,461
8004,2002,461
8004,2003,440
8004,2004,436
8004,2005,467
8004,2006,482
8004,2007,470
8004,2008,479
8004,2009,486
8004,2010,487
8004,2011,488
8004,2012,488
8004,2013,469
8004,2014,473
8004,2015,456
8004,2016,468
8004,2017,456
8005,2000,462
8005,2001,462
8005,2002,462
8005,2003,453
8005,2004,438
8005,2005,458
8005,2006,435
8005,2007,420
8005,2008,394
8005,2009,373
8005,2010,395
8005,2011,399
8005,2012,414
8005,2013,417
8005,2014,422
8005,2015,451
8005,2016,437
8005,2017,450
8006,2000,327
8006,2001,327
8006,2002,327
8006,2003,341
8006,2004,342
8006,2005,331
8006,2006,317
8006,2007,317
8006,2008,323
8006,2009,314
8006,2010,315
8006,2011,318
8006,2012,315
8006,2013,316
8006,2014,315
8006,2015,286
8006,2016,300
8006,2017,290
8007,2000,561
8007,2001,561
8007,2002,561
8007,2003,567
8007,2004,581
8007,2005,627
8007,2006,630
8007,2007,625
8007,2008,614
8007,2009,603
8007,2010,581
8007,2011,586
8007,2012,544
8007,2013,556
8007,2014,563
8007,2015,590
8007,2016,585
8007,2017,590
8008,2000,612
8008,2001,612
8008,2002,612
8008,2003,627
8008,2004,619
8008,2005,614
8008,2006,623
8008,2007,603
8008,2008,596
8008,2009,630
8008,2010,622
8008,2011,632
8008,2012,625
8008,2013,594
8008,2014,608
8008,2015,624
8008,2016,632
8008,2017,599
8009,2000,845
8009,2001,845
8009,2002,845
8009,2003,858
8009,2004,854
8009,2005,838
8009,2006,872
8009,2007,842
8009,2008,837
8009,2009,852
8009,2010,884
8009,2011,850
8009,2012,842
8009,2013,865
8009,2014,831
8009,2015,818
8009,2016,803
8009,2017,807
8011,2000,574
8011,2001,574
8011,2002,574
8011,2003,558
8011,2004,556
8011,2005,560
8011,2006,546
8011,2007,551
8011,2008,562
8011,2009,554
8011,2010,545
8011,2011,531
8011,2012,537
8011,2013,534
8011,2014,531
8011,2015,531
8011,2016,537
8011,2017,531
8012,2000,828
8012,2001,828
8012,2002,828
8012,2003,831
8012,2004,840
8012,2005,787
8012,2006,786
8012,2007,775
8012,2008,774
8012,2009,755
8012,2010,742
8012,2011,734
8012,2012,714
8012,2013,750
8012,2014,754
8012,2015,740
8012,2016,735
8012,2017,741
8013,2000,89
8013,2001,89
8013,2002,89
8013,2003,87
8013,2004,77
8013,2005,78
8013,2006,87
8013,2007,81
8013,2008,71
8013,2009,71
8013,2010,77
8013,2011,82
8013,2012,83
8013,2013,99
8013,2014,95
8013,2015,99
8013,2016,98
8013,2017,97
8014,2000,677
8014,2001,677
8014,2002,677
8014,2003,690
8014,2004,680
8014,2005,659
8014,2006,649
8014,2007,629
8014,2008,595
8014,2009,574
8014,2010,581
8014,2011,580
8014,2012,546
8014,2013,541
8014,2014,515
8014,2015,539
8014,2016,542
8014,2017,521
8015,2000,192
8015,2001,192
8015,2002,192
8015,2003,194
8015,2004,184
8015,2005,189
8015,2006,189
8015,2007,180
8015,2008,179
8015,2009,187
8015,2010,183
8015,2011,185
8015,2012,177
8015,2013,175
8015,2014,175
8015,2015,173
