geo,time,utrikes_fodda_kvinnor
8001,2000,14
8001,2001,14
8001,2002,14
8001,2003,15
8001,2004,20
8001,2005,23
8001,2006,22
8001,2007,29
8001,2008,35
8001,2009,32
8001,2010,40
8001,2011,43
8001,2012,46
8001,2013,49
8001,2014,41
8001,2015,53
8001,2016,72
8001,2017,61
8002,2000,15
8002,2001,15
8002,2002,15
8002,2003,13
8002,2004,10
8002,2005,14
8002,2006,15
8002,2007,14
8002,2008,14
8002,2009,15
8002,2010,11
8002,2011,15
8002,2012,17
8002,2013,13
8002,2014,12
8002,2015,13
8002,2016,20
8002,2017,30
8003,2000,69
8003,2001,69
8003,2002,69
8003,2003,67
8003,2004,63
8003,2005,61
8003,2006,69
8003,2007,65
8003,2008,76
8003,2009,74
8003,2010,67
8003,2011,64
8003,2012,76
8003,2013,86
8003,2014,91
8003,2015,103
8003,2016,113
8003,2017,126
8004,2000,33
8004,2001,33
8004,2002,33
8004,2003,35
8004,2004,37
8004,2005,34
8004,2006,40
8004,2007,42
8004,2008,45
8004,2009,49
8004,2010,47
8004,2011,58
8004,2012,47
8004,2013,52
8004,2014,60
8004,2015,68
8004,2016,73
8004,2017,72
8005,2000,23
8005,2001,23
8005,2002,23
8005,2003,22
8005,2004,21
8005,2005,27
8005,2006,22
8005,2007,29
8005,2008,36
8005,2009,35
8005,2010,43
8005,2011,39
8005,2012,41
8005,2013,41
8005,2014,39
8005,2015,52
8005,2016,65
8005,2017,75
8006,2000,21
8006,2001,21
8006,2002,21
8006,2003,29
8006,2004,20
8006,2005,22
8006,2006,27
8006,2007,27
8006,2008,25
8006,2009,30
8006,2010,32
8006,2011,33
8006,2012,40
8006,2013,41
8006,2014,41
8006,2015,39
8006,2016,38
8006,2017,36
8007,2000,38
8007,2001,38
8007,2002,38
8007,2003,37
8007,2004,40
8007,2005,39
8007,2006,43
8007,2007,54
8007,2008,69
8007,2009,83
8007,2010,84
8007,2011,91
8007,2012,77
8007,2013,92
8007,2014,97
8007,2015,94
8007,2016,105
8007,2017,122
8008,2000,46
8008,2001,46
8008,2002,46
8008,2003,42
8008,2004,39
8008,2005,53
8008,2006,44
8008,2007,54
8008,2008,58
8008,2009,61
8008,2010,55
8008,2011,55
8008,2012,47
8008,2013,52
8008,2014,52
8008,2015,51
8008,2016,59
8008,2017,62
8009,2000,56
8009,2001,56
8009,2002,56
8009,2003,50
8009,2004,63
8009,2005,73
8009,2006,76
8009,2007,79
8009,2008,82
8009,2009,92
8009,2010,93
8009,2011,92
8009,2012,89
8009,2013,87
8009,2014,101
8009,2015,115
8009,2016,120
8009,2017,125
8011,2000,21
8011,2001,21
8011,2002,21
8011,2003,21
8011,2004,21
8011,2005,23
8011,2006,21
8011,2007,23
8011,2008,23
8011,2009,27
8011,2010,36
8011,2011,35
8011,2012,41
8011,2013,43
8011,2014,40
8011,2015,41
8011,2016,44
8011,2017,49
8012,2000,82
8012,2001,82
8012,2002,82
8012,2003,67
8012,2004,69
8012,2005,91
8012,2006,84
8012,2007,98
8012,2008,118
8012,2009,132
8012,2010,135
8012,2011,132
8012,2012,132
8012,2013,138
8012,2014,136
8012,2015,151
8012,2016,151
8012,2017,144
8013,2000,15
8013,2001,15
8013,2002,15
8013,2003,16
8013,2004,25
8013,2005,31
8013,2006,33
8013,2007,42
8013,2008,50
8013,2009,57
8013,2010,62
8013,2011,65
8013,2012,44
8013,2013,36
8013,2014,39
8013,2015,42
8013,2016,38
8013,2017,34
8014,2000,83
8014,2001,83
8014,2002,83
8014,2003,96
8014,2004,113
8014,2005,125
8014,2006,134
8014,2007,152
8014,2008,183
8014,2009,220
8014,2010,254
8014,2011,251
8014,2012,229
8014,2013,242
8014,2014,255
8014,2015,251
8014,2016,249
8014,2017,252
8015,2000,5
8015,2001,5
8015,2002,5
8015,2003,7
8015,2004,5
8015,2005,6
8015,2006,6
8015,2007,8
8015,2008,9
8015,2009,11
8015,2010,11
8015,2011,14
8015,2012,12
8015,2013,18
8015,2014,18
8015,2015,15
8015,2016,15
8015,2017,11
8016,2000,11
8016,2001,11
8016,2002,11
8016,2003,11
8016,2004,11
8016,2005,11
8016,2006,12
8016,2007,13
8016,2008,14
8016,2009,11
8016,2010,13
8016,2011,15
8016,2012,16
8016,2013,15
8016,2014,16
8016,2015,17
8016,2016,16
8016,2017,15
8017,2000,34
8017,2001,34
8017,2002,34
8017,2003,48
8017,2004,42
8017,2005,41
8017,2006,55
8017,2007,65
8017,2008,64
8017,2009,62
8017,2010,67
8017,2011,83
8017,2012,83
8017,2013,86
8017,2014,89
8017,2015,101
8017,2016,108
8017,2017,108
8018,2000,22
8018,2001,22
8018,2002,22
8018,2003,20
8018,2004,22
8018,2005,21
8018,2006,21
8018,2007,20
8018,2008,22
8018,2009,19
8018,2010,21
8018,2011,21
8018,2012,23
8018,2013,25
8018,2014,27
8018,2015,29
8018,2016,33
8018,2017,37
8019,2000,8
8019,2001,8
8019,2002,8
8019,2003,6
8019,2004,6
8019,2005,7
8019,2006,7
8019,2007,5
8019,2008,5
8019,2009,6
8019,2010,9
8019,2011,12
8019,2012,14
8019,2013,14
8019,2014,14
8019,2015,16
8019,2016,16
8019,2017,20
8021,2000,8
8021,2001,8
8021,2002,8
8021,2003,8
8021,2004,10
8021,2005,8
8021,2006,11
8021,2007,8
8021,2008,9
8021,2009,10
8021,2010,10
8021,2011,8
8021,2012,10
8021,2013,12
8021,2014,14
8021,2015,12
8021,2016,19
8021,2017,19
8022,2000,214
8022,2001,214
8022,2002,214
8022,2003,232
8022,2004,238
8022,2005,234
8022,2006,243
8022,2007,235
8022,2008,246
8022,2009,278
8022,2010,282
8022,2011,273
8022,2012,253
8022,2013,265
8022,2014,281
8022,2015,328
8022,2016,340
8022,2017,367
8023,2000,10
8023,2001,10
8023,2002,10
8023,2003,9
8023,2004,12
8023,2005,14
8023,2006,16
8023,2007,14
8023,2008,12
8023,2009,13
8023,2010,20
8023,2011,20
8023,2012,17
8023,2013,19
8023,2014,26
8023,2015,59
8023,2016,78
8023,2017,71
8024,2000,325
8024,2001,325
8024,2002,325
8024,2003,321
8024,2004,355
8024,2005,348
8024,2006,398
8024,2007,439
8024,2008,488
8024,2009,557
8024,2010,592
8024,2011,623
8024,2012,617
8024,2013,666
8024,2014,700
8024,2015,730
8024,2016,784
8024,2017,779
8025,2000,22
8025,2001,22
8025,2002,22
8025,2003,20
8025,2004,26
8025,2005,25
8025,2006,20
8025,2007,24
8025,2008,34
8025,2009,31
8025,2010,39
8025,2011,34
8025,2012,35
8025,2013,34
8025,2014,41
8025,2015,46
8025,2016,55
8025,2017,60
8026,2000,27
8026,2001,27
8026,2002,27
8026,2003,30
8026,2004,27
8026,2005,33
8026,2006,34
8026,2007,38
8026,2008,39
8026,2009,48
8026,2010,39
8026,2011,41
8026,2012,42
8026,2013,46
8026,2014,45
8026,2015,45
8026,2016,52
8026,2017,55
8037,2000,9
8037,2001,9
8037,2002,9
8037,2003,9
8037,2004,8
8037,2005,8
8037,2006,7
8037,2007,6
8037,2008,6
8037,2009,6
8037,2010,8
8037,2011,7
8037,2012,9
8037,2013,10
8037,2014,11
8037,2015,13
8037,2016,18
8037,2017,20
8038,2000,7
8038,2001,7
8038,2002,7
8038,2003,6
8038,2004,8
8038,2005,8
8038,2006,12
8038,2007,16
8038,2008,16
8038,2009,14
8038,2010,16
8038,2011,18
8038,2012,16
8038,2013,14
8038,2014,16
8038,2015,16
8038,2016,16
8038,2017,16
8039,2000,22
8039,2001,22
8039,2002,22
8039,2003,20
8039,2004,22
8039,2005,29
8039,2006,29
8039,2007,38
8039,2008,39
8039,2009,39
8039,2010,39
8039,2011,39
8039,2012,39
8039,2013,50
8039,2014,55
8039,2015,72
8039,2016,68
8039,2017,73
8041,2000,3
8041,2001,3
8041,2002,3
8041,2003,4
8041,2004,5
8041,2005,5
8041,2006,10
8041,2007,9
8041,2008,7
8041,2009,8
8041,2010,7
8041,2011,8
8041,2012,9
8041,2013,9
8041,2014,9
8041,2015,16
8041,2016,19
8041,2017,17
8042,2000,14
8042,2001,14
8042,2002,14
8042,2003,10
8042,2004,9
8042,2005,9
8042,2006,9
8042,2007,9
8042,2008,9
8042,2009,11
8042,2010,11
8042,2011,10
8042,2012,14
8042,2013,13
8042,2014,17
8042,2015,20
8042,2016,24
8042,2017,24
8043,2000,20
8043,2001,20
8043,2002,20
8043,2003,17
8043,2004,21
8043,2005,24
8043,2006,22
8043,2007,21
8043,2008,18
8043,2009,21
8043,2010,23
8043,2011,23
8043,2012,21
8043,2013,26
8043,2014,23
8043,2015,22
8043,2016,24
8043,2017,25
8044,2000,2
8044,2001,2
8044,2002,2
8044,2003,2
8044,2004,4
8044,2005,5
8044,2006,8
8044,2007,7
8044,2008,7
8044,2009,9
8044,2010,9
8044,2011,8
8044,2012,8
8044,2013,7
8044,2014,7
8044,2015,10
8044,2016,13
8044,2017,17
8045,2000,5
8045,2001,5
8045,2002,5
8045,2003,5
8045,2004,5
8045,2005,7
8045,2006,5
8045,2007,8
8045,2008,4
8045,2009,6
8045,2010,6
8045,2011,8
8045,2012,11
8045,2013,13
8045,2014,17
8045,2015,20
8045,2016,19
8045,2017,22
8057,2000,5
8057,2001,5
8057,2002,5
8057,2003,5
8057,2004,5
8057,2005,5
8057,2006,4
8057,2007,10
8057,2008,12
8057,2009,14
8057,2010,14
8057,2011,14
8057,2012,11
8057,2013,13
8057,2014,15
8057,2015,14
8057,2016,13
8057,2017,20
8061,2000,11
8061,2001,11
8061,2002,11
8061,2003,12
8061,2004,9
8061,2005,10
8061,2006,9
8061,2007,9
8061,2008,12
8061,2009,10
8061,2010,11
8061,2011,13
8061,2012,13
8061,2013,12
8061,2014,14
8061,2015,16
8061,2016,15
8061,2017,14
8062,2000,11
8062,2001,11
8062,2002,11
8062,2003,11
8062,2004,8
8062,2005,11
8062,2006,13
8062,2007,15
8062,2008,17
8062,2009,19
8062,2010,20
8062,2011,18
8062,2012,16
8062,2013,15
8062,2014,19
8062,2015,20
8062,2016,21
8062,2017,23
8063,2000,0
8063,2001,0
8063,2002,0
8063,2003,0
8063,2004,0
8063,2005,0
8063,2006,0
8063,2007,0
8063,2008,2
8063,2009,3
8063,2010,6
8063,2011,9
8063,2012,14
8063,2013,17
8063,2014,18
8063,2015,18
8063,2016,22
8063,2017,20
8064,2000,0
8064,2001,0
8064,2002,0
8064,2003,0
8064,2004,0
8064,2005,0
8064,2006,0
8064,2007,0
8064,2008,0
8064,2009,0
8064,2010,0
8064,2011,0
8064,2012,0
8064,2013,0
8064,2014,0
8064,2015,1
8064,2016,3
8064,2017,4
8065,2000,0
8065,2001,0
8065,2002,0
8065,2003,0
8065,2004,0
8065,2005,0
8065,2006,0
8065,2007,0
8065,2008,0
8065,2009,0
8065,2010,0
8065,2011,0
8065,2012,0
8065,2013,0
8065,2014,0
8065,2015,0
8065,2016,0
8065,2017,0
8066,2000,11
8066,2001,11
8066,2002,11
8066,2003,9
8066,2004,12
8066,2005,8
8066,2006,7
8066,2007,15
8066,2008,16
8066,2009,18
8066,2010,18
8066,2011,16
8066,2012,19
8066,2013,28
8066,2014,30
8066,2015,21
8066,2016,29
8066,2017,30
8067,2000,11
8067,2001,11
8067,2002,11
8067,2003,13
8067,2004,14
8067,2005,13
